,County_slash_Sub_County,lighting_Conventional_Households,lighting_Mains_Electricity,lighting_Paraffin_Pressure_lamp,lighting_Paraffin_Lantern,lighting_Paraffin_Tin_Lamp,lighting_Gas_Lamp,lighting_Wood,lighting_Solar_and_Solar_Torch_and_Battery_Torch,lighting_Solar,lighting_Torch_slash_Spotlight_Solar_Charged,lighting_Torch_slash_Spotlight_Dry_cells,lighting_Candle,lighting_Battery_Car_Slash_Charged,lighting_Generator_Diesel_slash_Petrol),lighting_Biogas,lighting_Not_Stated,drinking_water_Conventional_Households,drinking_water_Pond,drinking_water_Dam_slash_Lake,drinking_water_Stream_slash_River,drinking_water_Protected_Spring,drinking_water_Unprotected_Spring,drinking_water_Protected_Well,unprotected_well_borehole_piped_dwelling,drinking_water_Unprotected_Well,drinking_water_Borehole_slash_Tube_well,drinking_water_Piped_into_dwelling,drinking_water_Piped_to_yard_slash_plot,drinking_water_Bottled_water,drinking_water_Rain_slash_Harvested_water,drinking_water_Water_Vendor,drinking_water_Public_tap_slash_Standpipe,drinking_water_Not_Stated,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct.1,Use_of_Internet_Female,Use_of_Internet_pct.2,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct,mo_phone_population_above_3_Total_Male_Female,mo_phone_population_above_3_Total,mo_phone_population_above_3_Male,mo_phone_population_above_3_Female,mobile_phone_Total,mobile_phone_Total_pct,mobile_phone_Male_and_pct,mobile_phone_Male,mobile_phone_Male_pct,mobile_phone_Female,mobile_phone_Female_pct
38,FAFI,"23,351",10.2,0.5,0.5,1.3,2.3,13.2,15.8 14.2 34.9,15.8,14.2,34.9,1.2,0.3,5.6,0,0,"23,351",5.4,19.8,6.2,0.3,0.1,1.4,0.7 45.6 0.9,0.7,45.6,0.9,1.9,0.5,0.3,0.5,16.4,0,"123,861 67,143 56,708","123,861","67,143","56,708","9,641",7.8,"5,633 8.4","5,633",8.4,"4,008",7.1,"2,660","2.1 1,582 2.4 1,078",2.1,"1,582",2.4,"1,078",1.9,"123,861 67,143 56,708","123,861","67,143","56,708","27,445",22.2,"14,751 22.0","14,751",22.0,"12,692",22.4
39,GARISSA SUBCOUNTY,"29,790",79.4,0.2,0.4,0.6,0.9,4.6,1.5 2.1 9.9,1.5,2.1,9.9,0.3,0.1,0,0,0.1,"29,790",2.3,4.4,17.2,0.7,0.2,1.9,1.0 5.4 9.8,1.0,5.4,9.8,28.1,0.6,0.5,9.6,18.3,0.1,"148,891 75,234 73,652","148,891","75,234","73,652","28,763",19.3,"16,129 21.4","16,129",21.4,"12,632",17.2,"9,552","6.4 5,857 7.8 3,694",6.4,"5,857",7.8,"3,694",5.0,"148,891 75,234 73,652","148,891","75,234","73,652","60,270",40.5,"29,841 39.7","29,841",39.7,"30,427",41.3
40,HULUGHO,"20,078",0.5,0,1.1,1.2,1.2,11.8,5.7 12.7 63.7,5.7,12.7,63.7,1.8,0.1,0,0,0,"20,078",64.5,32.1,0,0,0.1,0.6,1.4 0.1 0.0,1.4,0.1,0.0,0,0.5,0.5,0,-,0,"124,947 73,417 51,525","124,947","73,417","51,525","15,747",12.6,"10,002 13.6","10,002",13.6,"5,745",11.1,"7,114","5.7 4,631 6.3 2,483",5.7,"4,631",6.3,"2,483",4.8,"124,947 73,417 51,525","124,947","73,417","51,525","44,304",35.5,"25,250 34.4","25,250",34.4,"19,053",37.0
41,IJARA,"18,296",18.7,0.2,1.9,4.9,4.1,17,20.8 6.5 21.3,20.8,6.5,21.3,4.1,0.1,0,0.3,0,"18,296",3.6,37.3,17,1.5,1.3,4.4,11.3 2.5 3.0,11.3,2.5,3.0,6.2,0.3,0.5,2.6,8.3,0,"131,571 75,484 56,083","131,571","75,484","56,083","17,596",13.4,"10,924 14.5","10,924",14.5,"6,672",11.9,"7,743","5.9 5,054 6.7 2,689",5.9,"5,054",6.7,"2,689",4.8,"131,571 75,484 56,083","131,571","75,484","56,083","36,814",28.0,"20,397 27.0","20,397",27.0,"16,417",29.3
42,LAGDERA,"8,270",3.4,0,0.1,0.2,2.2,11.8,13.3 14.7 53.7,13.3,14.7,53.7,0.4,0.2,0,0,-,"8,270",2.1,23.4,4.7,0.2,1.5,9.4,16.2 37.5 0.3,16.2,37.5,0.3,0.2,0.1,1.1,3.1,0.1,-,"46,322 23,160 23,161","46,322","23,160","23,161","2,733",5.9,"1,429 6.2","1,429",6.2,"1,304",5.6,"1,277",2.8 687 3.0 589,2.8,687,3.0,589,2.5,"46,322 23,160 23,161","46,322","23,160","23,161","13,187",28.5,"6,754 29.2","6,754",29.2,"6,432",27.8
43,WAJIR,"126,878",14.1,0.1,0.6,0.9,2.8,15.4,11.6 11.2 42.2,11.6,11.2,42.2,0.6,0.1,0.3,0,0,"126,878",5.8,28,0.3,0.6,0.6,11.1,8.8 31.7 1.4,8.8,31.7,1.4,1.9,0.6,0.3,7.2,1.6,0,"711,571 379,557 331,969","711,571","379,557","331,969","58,976",8.3,"35,013 9.2","35,013",9.2,"23,958",7.2,"20,745","2.9 12,632 3.3 8,108",2.9,"12,632",3.3,"8,108",2.4,"711,571 379,557 331,969","711,571","379,557","331,969","198,693",27.9,"105,559 27.8","105,559",27.8,"93,128",28.1
44,BUNA,"6,480",0.1,0,1.7,1.1,2.5,24,26.1 11.3 32.7,26.1,11.3,32.7,0.2,0.1,0,0.1,-,"6,480",1.6,58.7,0.2,1.1,0.7,2.7,6.6 6.5 0.6,6.6,6.5,0.6,1.7,0.1,2.5,16.1,0.9,-,"44,083 23,847 20,234","44,083","23,847","20,234","2,526",5.7,"1,483 6.2","1,483",6.2,"1,043",5.2,940,2.1 570 2.4 370,2.1,570,2.4,370,1.8,"44,083 23,847 20,234","44,083","23,847","20,234","9,894",22.4,"5,300 22.2","5,300",22.2,"4,594",22.7
45,ELDAS,"13,862",7.9,0.1,0.4,0.9,2.8,26.1,13.4 10.9 36.6,13.4,10.9,36.6,0.7,0.2,0,0.1,-,"13,862",5.1,32.4,0.7,1,1.3,6.1,5.8 28.5 1.2,5.8,28.5,1.2,1.2,0.4,0.2,13.1,3.1,-,"82,187 41,866 40,314","82,187","41,866","40,314","7,299",8.9,"4,133 9.9","4,133",9.9,"3,165",7.9,"3,181","3.9 1,865 4.5 1,314",3.9,"1,865",4.5,"1,314",3.3,"82,187 41,866 40,314","82,187","41,866","40,314","21,286",25.9,"11,302 27.0","11,302",27.0,"9,982",24.8
46,HABASWEIN,"31,113",15.6,0.1,0.2,0.3,1.8,7.6,15.1 12.0 45.3,15.1,12.0,45.3,0.6,0.1,1.3,0,0,"31,113",1.4,7.3,0.4,0.4,0.3,1.5,0.7 73.9 3.5,0.7,73.9,3.5,4.9,0.4,0.1,2.4,2.7,0,"158,790 86,244 72,531","158,790","86,244","72,531","15,607",9.8,"9,328 10.8","9,328",10.8,"6,277",8.7,"4,956","3.1 3,111 3.6 1,844",3.1,"3,111",3.6,"1,844",2.5,"158,790 86,244 72,531","158,790","86,244","72,531","55,778",35.1,"29,614 34.3","29,614",34.3,"26,164",36.1
47,TARBAJ,"9,241",1,0.4,0.7,0.7,3.5,35.8,7.7 10.0 39.7,7.7,10.0,39.7,0.5,-,0,0,-,"9,241",3.5,47.5,0.2,0.3,0.3,9.6,11.3 25.1 0.1,11.3,25.1,0.1,0,0.1,0.2,1.1,0.7,-,"50,653 24,262 26,386","50,653","24,262","26,386","1,954",3.9,"1,113 4.6","1,113",4.6,841,3.2,788,1.6 460 1.9 328,1.6,460,1.9,328,1.2,"50,653 24,262 26,386","50,653","24,262","26,386","9,359",18.5,"4,710 19.4","4,710",19.4,"4,649",17.6
48,WAJIR EAST,"18,282",47.8,0.2,0.6,1.9,6.2,10.2,6.5 6.0 19.4,6.5,6.0,19.4,1.1,0.1,0.1,0,0,"18,282",1.5,2.1,0.4,1.8,1.4,49,25.5 9.4 0.6,25.5,9.4,0.6,0.7,2.5,0.2,3.6,1.4,0,"101,247 54,136 47,109","101,247","54,136","47,109","13,681",13.5,"8,358 15.4","8,358",15.4,"5,322",11.3,"5,076","5.0 3,166 5.8 1,909",5.0,"3,166",5.8,"1,909",4.1,"101,247 54,136 47,109","101,247","54,136","47,109","33,610",33.2,"17,987 33.2","17,987",33.2,"15,622",33.2
49,WAJIR NORTH,"10,478",15.4,0.1,1.3,2.3,3.2,21.5,8.5 12.3 35.0,8.5,12.3,35.0,0.4,0.1,0,0,-,"10,478",31.1,57.8,0.2,0.4,0.2,0.4,3.7 4.8 0.0,3.7,4.8,0.0,0,0.4,0.6,0.4,0.3,-,"55,799 28,905 26,888","55,799","28,905","26,888","4,029",7.2,"2,357 8.2","2,357",8.2,"1,671",6.2,"1,307",2.3 768 2.7 538,2.3,768,2.7,538,2.0,"55,799 28,905 26,888","55,799","28,905","26,888","14,282",25.6,"7,446 25.8","7,446",25.8,"6,835",25.4
50,WAJIR SOUTH,"21,149",1.4,0,0.6,0.2,1.9,11.6,9.0 13.6 61.0,9.0,13.6,61.0,0.6,0,-,0,0,"21,149",6,56.9,0.1,0.1,0.3,5.6,7.5 12.0 0.2,7.5,12.0,0.2,0.1,0.2,0.1,10.8,0.1,0,"107,634 60,030 47,602","107,634","60,030","47,602","7,479",6.9,"4,389 7.3","4,389",7.3,"3,090",6.5,"2,037","1.9 1,227 2.0 810",1.9,"1,227",2.0,810,1.7,"107,634 60,030 47,602","107,634","60,030","47,602","30,221",28.1,"16,533 27.5","16,533",27.5,"13,688",28.8
51,WAJIR WEST,"16,273",7.7,0.1,0.9,0.8,1.8,12.9,11.1 12.3 51.8,11.1,12.3,51.8,0.4,0.2,0,-,-,"16,273",5.7,13.1,0.3,0.4,0.5,9.5,12.5 35.7 1.6,12.5,35.7,1.6,3.1,0.4,0.1,15.4,1.8,-,"111,178 60,267 50,905","111,178","60,267","50,905","6,401",5.8,"3,852 6.4","3,852",6.4,"2,549",5.0,"2,460","2.2 1,465 2.4 995",2.2,"1,465",2.4,995,2.0,"111,178 60,267 50,905","111,178","60,267","50,905","24,263",21.8,"12,667 21.0","12,667",21.0,"11,594",22.8
52,MANDERA,"123,954",15.7,0.2,0.5,1,2.6,26.8,9.9 8.2 34.1,9.9,8.2,34.1,0.8,0.1,0,0,0,"123,954",12.6,22.6,7.7,0.6,0.3,6.8,4.1 21.3 1.1,4.1,21.3,1.1,2.3,0.4,0.9,16.7,2.6,0,"775,085 391,182 383,873","775,085","391,182","383,873","60,710",7.8,"34,564 8.8","34,564",8.8,"26,142",6.8,"21,044","2.7 12,207 3.1 8,833",2.7,"12,207",3.1,"8,833",2.3,"775,085 391,182 383,873","775,085","391,182","383,873","196,119",25.3,"98,094 25.1","98,094",25.1,"98,018",25.5
53,MANDERA WEST,"14,201",7.2,0.3,1.3,1.7,2.8,32.8,12.8 10.6 29.7,12.8,10.6,29.7,0.7,0.1,0,0,0,"14,201",26.8,64.4,0.2,0.1,0,0.6,0.3 1.8 0.1,0.3,1.8,0.1,0.3,0.9,1.5,2.1,0.8,0,"86,713 42,666 44,045","86,713","42,666","44,045","5,246",6.0,"2,954 6.9","2,954",6.9,"2,292",5.2,"2,100","2.4 1,189 2.8 911",2.4,"1,189",2.8,911,2.1,"86,713 42,666 44,045","86,713","42,666","44,045","18,341",21.2,"8,963 21.0","8,963",21.0,"9,378",21.3
54,BANISA,"24,000",0.3,0.3,0.4,0.7,1.9,45.1,13.2 7.9 29.5,13.2,7.9,29.5,0.6,0.1,0,0,0,"24,000",38.7,35.9,2.7,0.1,0.1,0.3,0.6 5.2 0.0,0.6,5.2,0.0,0,0.1,2.3,13.7,0,0,"135,664 70,366 65,291","135,664","70,366","65,291","7,283",5.4,"4,169 5.9","4,169",5.9,"3,113",4.8,"2,557","1.9 1,498 2.1 1,059",1.9,"1,498",2.1,"1,059",1.6,"135,664 70,366 65,291","135,664","70,366","65,291","27,866",20.5,"14,124 20.1","14,124",20.1,"13,741",21.0
55,KOTULO,"9,342",6.6,0.1,1.3,1,3.3,19.6,11.7 9.6 45.4,11.7,9.6,45.4,1.1,0.2,0.1,-,-,"9,342",0.5,12.4,0.4,0.5,0.6,2.5,5.2 75.7 0.5,5.2,75.7,0.5,0.2,0.1,0.1,0,1.2,-,"63,722 31,894 31,826","63,722","31,894","31,826","5,182",8.1,"2,863 9.0","2,863",9.0,"2,317",7.3,"2,568","4.0 1,435 4.5 1,131",4.0,"1,435",4.5,"1,131",3.6,"63,722 31,894 31,826","63,722","31,894","31,826","18,955",29.7,"9,601 30.1","9,601",30.1,"9,352",29.4
56,LAFEY,"11,380",0.5,0,0.1,0.3,1.9,35.8,5.5 9.9 44.2,5.5,9.9,44.2,1.5,0.1,0,-,-,"11,380",4.3,20,4.5,0.3,0.6,3,1.2 52.1 1.6,1.2,52.1,1.6,1.2,0.4,0.2,6.2,4.4,-,"74,593 36,424 38,164","74,593","36,424","38,164","5,873",7.9,"3,113 8.5","3,113",8.5,"2,760",7.2,"2,583","3.5 1,313 3.6 1,270",3.5,"1,313",3.6,"1,270",3.3,"74,593 36,424 38,164","74,593","36,424","38,164","19,447",26.1,"9,564 26.3","9,564",26.3,"9,883",25.9
57,MANDERA CENTRAL,"20,795",23.6,0.6,0.7,1.7,4.3,23.2,12.5 6.0 26.8,12.5,6.0,26.8,0.3,0.1,0,0,0.1,"20,795",1.5,13.8,0.2,0.5,0.5,30.5,14.0 34.4 0.7,14.0,34.4,0.7,0.3,0.2,0.3,2.4,0.6,0.1,"140,725 64,682 76,039","140,725","64,682","76,039","14,099",10.0,"7,466 11.5","7,466",11.5,"6,633",8.7,"4,509","3.2 2,436 3.8 2,073",3.2,"2,436",3.8,"2,073",2.7,"140,725 64,682 76,039","140,725","64,682","76,039","38,536",27.4,"18,360 28.4","18,360",28.4,"20,175",26.5
58,MANDERA EAST,"25,206",46.4,0.2,0.2,1,3.1,8.6,5.9 6.2 27.3,5.9,6.2,27.3,0.9,0.1,0,0,-,"25,206",3.9,4.6,13.5,1.6,0.1,4.8,4.9 5.4 1.8,4.9,5.4,1.8,3.7,0.8,0.5,47.3,7,-,"144,168 75,335 68,829","144,168","75,335","68,829","16,132",11.2,"9,938 13.2","9,938",13.2,"6,193",9.0,"4,733","3.3 3,143 4.2 1,588",3.3,"3,143",4.2,"1,588",2.3,"144,168 75,335 68,829","144,168","75,335","68,829","46,607",32.3,"23,984 31.8","23,984",31.8,"22,620",32.9
59,MANDERA NORTH,"19,030",5.4,0,0.2,0.6,1,25.7,7.8 9.9 48.4,7.8,9.9,48.4,0.8,0.1,-,0,-,"19,030",3.5,14.5,25.8,0.2,0,0.9,0.8 17.5 2.8,0.8,17.5,2.8,8.9,0.2,0.6,21.2,3.1,-,"129,500 69,815 59,679","129,500","69,815","59,679","6,895",5.3,"4,061 5.8","4,061",5.8,"2,834",4.7,"1,994","1.5 1,193 1.7 801",1.5,"1,193",1.7,801,1.3,"129,500 69,815 59,679","129,500","69,815","59,679","26,367",20.4,"13,498 19.3","13,498",19.3,"12,869",21.6
60,MARSABIT,"76,689",21.3,0.2,2.7,2.8,1.6,14.2,15.1 12.6 28.4,15.1,12.6,28.4,0.9,0.1,0,0.1,0.1,"76,689",1.2,15.7,1.7,1.4,0.9,9.1,18.0 23.2 0.7,18.0,23.2,0.7,1.2,0.6,2.9,16,7.3,0.1,"409,629 215,220 194,392","409,629","215,220","194,392","34,149",8.3,"21,250 9.9","21,250",9.9,"12,898",6.6,"12,435","3.0 8,050 3.7 4,384",3.0,"8,050",3.7,"4,384",2.3,"409,629 215,220 194,392","409,629","215,220","194,392","118,593",29.0,"62,775 29.2","62,775",29.2,"55,815",28.7
61,LOIYANGALANI,"7,646",0.1,0.1,0.7,0.1,0.1,27.3,12.4 21.9 36.9,12.4,21.9,36.9,0.2,0.2,-,-,-,"7,646",0.4,15.9,5.7,7.6,3.4,7,19.6 16.0 1.3,19.6,16.0,1.3,4.5,0,1.2,0.4,16.9,-,"31,574 15,401 16,171","31,574","15,401","16,171","1,468",4.6,933 6.1,933,6.1,535,3.3,559,1.8 363 2.4 196,1.8,363,2.4,196,1.2,"31,574 15,401 16,171","31,574","15,401","16,171","7,210",22.8,"3,531 22.9","3,531",22.9,"3,678",22.7
62,MARSABIT CENTRAL,"15,658",50.4,0.3,5.4,4.9,0.8,4.8,20.9 7.7 2.9,20.9,7.7,2.9,1.7,0.1,-,-,0,"15,658",0,3.8,0.4,1.1,1.3,8,7.5 10.0 0.8,7.5,10.0,0.8,1.6,2,3.1,46.2,14.2,0,"71,619 36,892 34,716","71,619","36,892","34,716","11,293",15.8,"6,781 18.4","6,781",18.4,"4,512",13.0,"4,452","6.2 2,800 7.6 1,652",6.2,"2,800",7.6,"1,652",4.8,"71,619 36,892 34,716","71,619","36,892","34,716","27,841",38.9,"14,913 40.4","14,913",40.4,"12,928",37.2
63,MARSABIT NORTH,"7,468",0.1,-,0,0.1,0.2,8.7,11.6 23.9 54.9,11.6,23.9,54.9,0.3,0,0,0,-,"7,468",0,9.3,0.4,0.4,0.2,14.5,7.6 40.3 0.1,7.6,40.3,0.1,1,0.2,9.6,10,6.5,-,"45,650 24,849 20,800","45,650","24,849","20,800","2,543",5.6,"1,575 6.3","1,575",6.3,968,4.7,815,1.8 553 2.2 262,1.8,553,2.2,262,1.3,"45,650 24,849 20,800","45,650","24,849","20,800","15,360",33.6,"8,352 33.6","8,352",33.6,"7,008",33.7
64,MARSABIT SOUTH,"11,563",2,0.1,1,0.2,0,14.7,14.4 24.3 42.2,14.4,24.3,42.2,0.8,0.1,0.1,0,0,"11,563",0.8,5.3,5.6,0.2,0.3,5.6,26.8 44.2 1.9,26.8,44.2,1.9,2.2,0.3,2.6,1.2,2.9,0,"59,493 30,146 29,347","59,493","30,146","29,347","3,417",5.7,"2,118 7.0","2,118",7.0,"1,299",4.4,"1,215",2.0 811 2.7 404,2.0,811,2.7,404,1.4,"59,493 30,146 29,347","59,493","30,146","29,347","14,936",25.1,"7,268 24.1","7,268",24.1,"7,668",26.1
65,MOYALE,"17,591",45.7,0.3,3.4,4.5,4.1,7.1,13.2 4.4 15.5,13.2,4.4,15.5,1.3,0.1,0,0.4,0,"17,591",2.6,28,0.2,0.1,0.2,10,9.4 22.2 0.3,9.4,22.2,0.3,0.1,0.4,2.9,22.8,1,0,"97,766 50,613 47,152","97,766","50,613","47,152","9,977",10.2,"6,295 12.4","6,295",12.4,"3,682",7.8,"3,294","3.4 2,099 4.1 1,195",3.4,"2,099",4.1,"1,195",2.5,"97,766 50,613 47,152","97,766","50,613","47,152","30,148",30.8,"15,904 31.4","15,904",31.4,"14,243",30.2
66,NORTH HORR,"9,601",1.2,0,0,0.1,0.1,32,5.6 6.4 53.8,5.6,6.4,53.8,0,0.1,0.2,-,0.4,"9,601",0.8,1.5,1.4,0.8,1.1,15.7,59.8 7.2 0.2,59.8,7.2,0.2,0.1,0,0.1,0.4,10.6,0.4,"62,863 35,980 26,881","62,863","35,980","26,881","3,071",4.9,"1,983 5.5","1,983",5.5,"1,087",4.0,"1,307",2.1 882 2.5 424,2.1,882,2.5,424,1.6,"62,863 35,980 26,881","62,863","35,980","26,881","14,025",22.3,"7,842 21.8","7,842",21.8,"6,182",23.0
67,SOLOLO,"7,162",0.5,0.2,5.9,7,4.3,19.7,27.5 11.2 22.2,27.5,11.2,22.2,1.1,0.2,0,-,0,"7,162",3.4,54.2,0.1,2.4,0.3,2.9,0.5 32.3 0.1,0.5,32.3,0.1,0.1,0.4,1.9,0.6,0.8,0,"40,664 21,339 19,325","40,664","21,339","19,325","2,380",5.9,"1,565 7.3","1,565",7.3,815,4.2,793,2.0 542 2.5 251,2.0,542,2.5,251,1.3,"40,664 21,339 19,325","40,664","21,339","19,325","9,073",22.3,"4,965 23.3","4,965",23.3,"4,108",21.3
68,ISIOLO,"53,217",40.6,0.3,3.8,3.7,1.2,6.7,9.1 9.0 24.6,9.1,9.0,24.6,0.7,0.2,0.1,0,0,"53,217",0.6,3.1,17.7,1.2,1.9,3.9,8.5 12.0 6.0,8.5,12.0,6.0,27.2,0.7,0.5,3.9,12.7,0,"245,462 128,141 117,317","245,462","128,141","117,317","34,780",14.2,"20,665 16.1","20,665",16.1,"14,114",12.0,"12,860","5.2 8,036 6.3 4,824",5.2,"8,036",6.3,"4,824",4.1,"245,462 128,141 117,317","245,462","128,141","117,317","93,772",38.2,"49,650 38.7","49,650",38.7,"44,122",37.6
69,GARBATULLA,"17,047",15,0.3,5.9,4,2.8,11.2,14.4 11.6 34.5,14.4,11.6,34.5,0.2,0.2,0,0,0,"17,047",0.6,5.3,25.6,1.4,5.4,9.5,16.5 13.4 2.0,16.5,13.4,2.0,7.3,0.1,0.7,1.1,11,0,"92,227 50,808 41,418","92,227","50,808","41,418","7,781",8.4,"4,844 9.5","4,844",9.5,"2,936",7.1,"2,537","2.8 1,551 3.1 986",2.8,"1,551",3.1,986,2.4,"92,227 50,808 41,418","92,227","50,808","41,418","28,619",31.0,"15,983 31.5","15,983",31.5,"12,636",30.5
70,ISIOLO SUBCOUNTY,"27,612",61.5,0.4,3.2,4.6,0.5,3.3,6.0 7.4 11.8,6.0,7.4,11.8,1.2,0.2,0.1,0,0,"27,612",0.2,2,16.6,1.2,0.2,1,2.2 6.6 9.8,2.2,6.6,9.8,39,1.2,0.5,5.8,13.6,0,"110,631 55,148 55,483","110,631","55,148","55,483","24,135",21.8,"13,964 25.3","13,964",25.3,"10,171",18.3,"9,383","8.5 5,873 10.6 3,510",8.5,"5,873",10.6,"3,510",6.3,"110,631 55,148 55,483","110,631","55,148","55,483","51,064",46.2,"26,035 47.2","26,035",47.2,"25,029",45.1
71,MERTI,"8,558",24.5,0,1.8,0.4,0.4,8.8,8.7 9.1 46.3,8.7,9.1,46.3,0.2,0,-,-,-,"8,558",1.5,2.3,5.6,0.5,0.7,2,13.1 26.7 2.0,13.1,26.7,2.0,28.8,0.1,0,3.5,13.2,-,"42,604 22,185 20,416","42,604","22,185","20,416","2,864",6.7,"1,857 8.4","1,857",8.4,"1,007",4.9,940,2.2 612 2.8 328,2.2,612,2.8,328,1.6,"42,604 22,185 20,416","42,604","22,185","20,416","14,089",33.1,"7,632 34.4","7,632",34.4,"6,457",31.6
72,MERU,"423,931",40.2,0.5,11,13.9,0.2,1.5,18.8 3.6 8.3,18.8,3.6,8.3,1.5,0.5,0,0,0,"423,931",0.3,0.2,21.5,2.4,1.9,2,1.4 7.5 17.9,1.4,7.5,17.9,24.6,0.8,1.4,11,6.8,0,"1,436,400 711,224 725,139","1,436,400","711,224","725,139","277,161",19.3,"152,727 21.5","152,727",21.5,"124,427",17.2,"102,691","7.1 56,339 7.9 46,347",7.1,"56,339",7.9,"46,347",6.4,"1,436,400 711,224 725,139","1,436,400","711,224","725,139","723,173",50.3,"364,131 51.2","364,131",51.2,"359,025",49.5
73,BUURI EAST,"23,737",41.5,0.6,14.9,10,0.2,0.6,23.0 4.5 3.2,23.0,4.5,3.2,1.1,0.5,0,-,0,"23,737",0.1,0.1,3.8,2.1,0.6,1.2,0.8 7.5 18.7,0.8,7.5,18.7,29.4,0.7,2.2,17.8,15,0,"71,784 35,691 36,093","71,784","35,691","36,093","15,420",21.5,"8,403 23.5","8,403",23.5,"7,017",19.4,"6,132","8.5 3,296 9.2 2,836",8.5,"3,296",9.2,"2,836",7.9,"71,784 35,691 36,093","71,784","35,691","36,093","42,922",59.8,"21,216 59.4","21,216",59.4,"21,706",60.1
74,BUURI WEST,"27,905",53.5,0.4,8.6,7.9,0.1,0.4,17.8 4.6 3.7,17.8,4.6,3.7,1.6,1.1,0.2,-,0,"27,905",0.1,0.3,14.7,2.8,0.9,1.2,0.5 2.3 21.8,0.5,2.3,21.8,37.5,0.5,2.2,7.6,7.5,0,"75,344 37,726 37,616","75,344","37,726","37,616","18,801",25.0,"10,704 28.4","10,704",28.4,"8,096",21.5,"6,008","8.0 3,423 9.1 2,585",8.0,"3,423",9.1,"2,585",6.9,"75,344 37,726 37,616","75,344","37,726","37,616","45,598",60.5,"22,927 60.8","22,927",60.8,"22,669",60.3
75,IGEMBE CENTRAL,"51,848",22.3,0.6,12.1,16.1,0.3,2.5,24.3 4.0 14.9,24.3,4.0,14.9,1.9,1,0,0,0,"51,848",0.3,0.3,19.9,2.5,3,1.6,1.3 21.1 6.9,1.3,21.1,6.9,9.9,0.9,1.1,22.5,8.6,0,"204,412 102,059 102,349","204,412","102,059","102,349","30,624",15.0,"17,977 17.6","17,977",17.6,"12,646",12.4,"7,607","3.7 4,239 4.2 3,367",3.7,"4,239",4.2,"3,367",3.3,"204,412 102,059 102,349","204,412","102,059","102,349","86,229",42.2,"45,004 44.1","45,004",44.1,"41,224",40.3
76,IGEMBE NORTH,"38,716",19.6,0.6,9.3,16.4,0.2,4.2,29.1 4.6 13.7,29.1,4.6,13.7,1.8,0.4,0,0,0,"38,716",0.3,0,0.8,1,0.6,1.1,0.9 16.5 3.7,0.9,16.5,3.7,3.2,1.5,8.2,55.1,6.9,0,"156,536 76,912 79,620","156,536","76,912","79,620","21,500",13.7,"12,648 16.4","12,648",16.4,"8,852",11.1,"6,231","4.0 3,517 4.6 2,713",4.0,"3,517",4.6,"2,713",3.4,"156,536 76,912 79,620","156,536","76,912","79,620","59,260",37.9,"30,937 40.2","30,937",40.2,"28,322",35.6
77,IGEMBE SOUTH,"43,222",36.2,0.3,9.6,12,0.2,1.5,15.8 3.4 18.1,15.8,3.4,18.1,2.2,0.6,0,0,0.1,"43,222",0.4,0.4,38.6,3.1,5.1,2.5,2.4 2.7 12.3,2.4,2.7,12.3,20.1,0.9,0.8,3.8,6.7,0.1,"149,522 74,030 75,484","149,522","74,030","75,484","24,765",16.6,"13,519 18.3","13,519",18.3,"11,246",14.9,"7,657","5.1 4,202 5.7 3,455",5.1,"4,202",5.7,"3,455",4.6,"149,522 74,030 75,484","149,522","74,030","75,484","68,964",46.1,"35,519 48.0","35,519",48.0,"33,443",44.3
78,IMENTI NORTH,"57,556",73.1,0.2,6.3,7.5,0.1,0.2,8.2 1.3 1.6,8.2,1.3,1.6,1.2,0.1,-,-,0,"57,556",0.1,0.1,15.1,2.3,1.1,1,0.8 1.6 30.1,0.8,1.6,30.1,40.7,0.7,0.2,1.8,4.4,0,"162,829 80,497 82,328","162,829","80,497","82,328","55,301",34.0,"28,704 35.7","28,704",35.7,"26,594",32.3,"26,579","16.3 14,075 17.5 12,503",16.3,"14,075",17.5,"12,503",15.2,"162,829 80,497 82,328","162,829","80,497","82,328","104,428",64.1,"51,268 63.7","51,268",63.7,"53,157",64.6
79,IMENTI SOUTH,"63,954",54.4,0.6,10.7,10.9,0.1,0.4,13.5 2.9 4.6,13.5,2.9,4.6,1.5,0.2,0,0,0,"63,954",0.2,0.2,17,1.3,1,0.5,0.8 1.3 30.2,0.8,1.3,30.2,40.5,1.2,0.5,0.8,4.5,0,"193,742 96,744 96,993","193,742","96,744","96,993","44,896",23.2,"23,908 24.7","23,908",24.7,"20,987",21.6,"17,772","9.2 9,525 9.8 8,246",9.2,"9,525",9.8,"8,246",8.5,"193,742 96,744 96,993","193,742","96,744","96,993","114,730",59.2,"57,067 59.0","57,067",59.0,"57,659",59.4
