County_slash_Sub_County,Total,Conventional_and_Group_Quarters,Conventional,Group_Quarters,TenureStatus_ConventionalHouseholds_Owned_Number,Owned_pct_Rented_num_Rented_pct_Not_Stated_num,TenureStatus_ConventionalHouseholds_Owned_pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Pct,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Number,TenureStatus_ConventionalHouseholds_Rented_Slash_Provided_Not_Stated_Pct
KATHIANI,"28,730","28,730 -",,,"26,630","92.7 2,094 7.3 6",,,,,0
MACHAKOS,"50,979","50,753 226",,,"29,501","58.1 21,246 41.9 6",,,,,0
MASINGA,"36,251","36,196 55",,,"31,913","88.2 4,279 11.8 4",,,,,0
MATUNGULU,"44,454","44,399 55",,,"33,555","75.6 10,838 24.4 6",,,,,0
MWALA,"45,840","45,809 31",,,"40,781","89.0 5,021 11.0 7",,,,,0
YATTA,"46,153","43,661 2,492",,,"34,552","79.1 9,105 20.9 4",,,,,0
MAKUENI,"244,669","243,979 690",,,"198,314","81.3 45,609 18.7 56",,,,,0
KATHONZWENI,"18,365","18,362 3",,,"16,205","88.3 2,153 11.7 4",,,,,0
KIBWEZI,"47,912","47,594 318",,,"36,202","76.1 11,379 23.9 13",,,,,0
KILUNGU,"14,586","14,563 23",,,"13,933",95.7 626 4.3 4,,,,,0
MAKINDU,"21,756","21,662 94",,,"15,374","71.0 6,280 29.0 8",,,,,0
MAKUENI,"34,479","34,352 127",,,"24,768","72.1 9,580 27.9 4",,,,,0
MBOONI EAST,"23,734","23,724 10",,,"21,629","91.2 2,094 8.8 1",,,,,0
MBOONI WEST,"24,833","24,807 26",,,"23,134","93.3 1,670 6.7 3",,,,,0
MUKAA,"28,185","28,109 76",,,"22,229","79.1 5,871 20.9 9",,,,,0
NZAUI,"30,819","30,806 13",,,"24,840","80.6 5,956 19.3 10",,,,,0
NYANDARUA,"179,686","178,224 1,462",,,"124,463","69.8 53,734 30.1 27",,,,,0
KINANGOP,"30,970","30,847 123",,,"21,230","68.8 9,613 31.2 4",,,,,0
NYANDARUA SOUTH,"25,822","25,650 172",,,"17,554","68.4 8,094 31.6 2",,,,,0
MIRANGINE,"18,816","17,880 936",,,"12,755","71.3 5,123 28.7 2",,,,,0
KIPIPIRI,"25,200","25,077 123",,,"20,282","80.9 4,787 19.1 8",,,,,0
NYANDARUA CENTRAL,"21,942","21,852 90",,,"12,843","58.8 9,007 41.2 2",,,,,0
NYANDARUA WEST,"29,008","29,003 5",,,"18,510","63.8 10,489 36.2 4",,,,,0
NYANDARUA NORTH,"27,917","27,906 11",,,"21,289","76.3 6,612 23.7 5",,,,,0
ABERDARE NATIONAL PARK,11,9 2,,,-,- 9 100.0 -,,,,,-
NYERI,"248,050","244,564 3,486",,,"163,617","66.9 80,917 33.1 30",,,,,0
TETU,"24,139","24,122 17",,,"21,134","87.6 2,987 12.4 1",,,,,0
KIENI EAST,"36,835","36,751 84",,,"19,749","53.7 16,997 46.2 5",,,,,0
KIENI WEST,"27,619","27,530 89",,,"19,249","69.9 8,276 30.1 5",,,,,0
MATHIRA EAST,"35,044","33,945 1,099",,,"21,506","63.4 12,437 36.6 2",,,,,0
MATHIRA WEST,"19,020","18,892 128",,,"16,647","88.1 2,242 11.9 3",,,,,0
NYERI SOUTH,"28,228","28,103 125",,,"22,149","78.8 5,952 21.2 2",,,,,0
MUKURWE-INI,"27,040","27,036 4",,,"24,284","89.8 2,750 10.2 2",,,,,0
