County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,number_ptr,county_ptr,Enrolment,public_teachers,public_PTR,public_enrolment,private_teachers,private_PTR,overall_pri_ptr_no,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE
Narok,"8,039.10","8,844.79",785.35,799.26,618.99,"2,374.55","9,443.44","12,018.60",33,Narok,940,"297,685",317,Narok,"1,157,873","17,950.30",65,33,Narok,"263,224","5,616",47,"34,461","1,252",28,33,Narok,"297,685","6,868",43,33,Narok,0.93,0.94,0.92,0.93,33,Narok,143,518,53,714,33,Narok,616,615,99.84,33,Narok,"34,349","1,230",615,615,,33,Narok,481.9,29,472.2,38.8,480.2,40.6
Nyamira,"4,810.80","5,135.34",900.98,716.67,162.86,400,"5,874.65","6,252.01",34,Nyamira,576,"162,596",282,Nyamira,"605,576",,675,34,Nyamira,"125,642","4,018",31,"36,954","1,581",23,34,Nyamira,"162,596","5,599",29,34,Nyamira,0.95,0.97,0.96,0.96,46,Nyamira,407,0,0,407,34,Nyamira,407,407,100,34,Nyamira,"17,260",814,407,407,,34,Nyamira,520.6,36.5,497.5,28.5,515.8,40.2
Nyandarua,"4,874.10","5,670.44",856.79,912.19,408.72,590,"6,139.61","7,172.63",35,Nyandarua,488,"138,635",284,Nyandarua,"638,289","3,285.70",194,35,Nyandarua,"116,354","3,778",31,"22,281","1,095",20,35,Nyandarua,"138,635","4,873",28,35,Nyandarua,1,1.01,1.01,1.01,18,Nyandarua,349,1,0,350,35,Nyandarua,350,344,98.29,35,Nyandarua,"13,358",688,344,344,,35,Nyandarua,540.6,10.6,552.4,19.1,536.7,18.2
Nyeri,"5,412.15","6,228.73","1,167.74",833.56,886.89,"1,000.00","7,466.78","8,062.29",36,Nyeri,552,"124,881",226,Nyeri,"759,164","3,325.00",228,36,Nyeri,"101,408","3,719",27,"23,473","1,262",19,36,Nyeri,"124,881","4,981",25,36,Nyeri,0.98,0.99,0.98,0.98,19,Nyeri,391,0,0,391,36,Nyeri,392,390,99.49,36,Nyeri,"11,847",780,389,389,,36,Nyeri,515.7,47.2,546.8,55.6,516.4,40.4
Samburu,"4,620.90","5,371.35",602.39,624.24,70.38,100,"5,293.67","6,095.58",37,Samburu,188,"56,468",300,Samburu,"310,327","21,065.10",15,37,Samburu,"53,161","1,313",40,"3,307",116,29,37,Samburu,"56,468","1,429",40,37,Samburu,0.99,0.99,0.99,0.99,25,Samburu,40,115,8,163,37,Samburu,146,112,76.71,37,Samburu,"6,451",224,112,112,,37,Samburu,421.2,5.1,397.6,8,406,8.7
Siaya,"5,791.95","6,966.51",855.19,693.45,332.88,445.45,"6,980.02","8,105.40",38,Siaya,851,"269,526",317,Siaya,"993,183","2,529.80",393,38,Siaya,"253,492","6,087",42,"16,034",933,17,38,Siaya,"269,526","7,020",38,38,Siaya,1,1,1,1,41,Siaya,647,9,3,659,38,Siaya,643,642,99.84,38,Siaya,"31,739","1,284",642,642,51,38,Siaya,431.8,17.8,458.5,18.1,429,22.4
Taita/Taveta,"4,241.10","4,842.17","1,120.24","1,532.98",302.01,376,"5,663.35","6,751.15",39,Taita Taveta,285,"67,177",236,Taita/Taveta,"340,671","17,152.00",20,39,Taita Taveta,"60,205","1,990",30,"6,972",565,12,39,Taita Taveta,"67,177","2,555",26,39,Taita/Taveta,1,1,1,1,6,Taita/Taveta,200,10,0,210,39,Taita/Taveta,194,194,100,39,Taita/Taveta,"7,025",388,194,194,71,39,Taita Taveta,488.4,16.6,499.2,19.4,544.4,22.9
Tana River,"5,855.25","6,528.41",919.77,696.86,83.08,79.86,"6,858.10","7,305.13",40,Tana River,213,"59,674",280,Tana River,"315,943","37,950.50",8,40,Tana River,"53,083","1,375",39,"6,591",262,25,40,Tana River,"59,674","1,637",36,40,Tana River,0.96,0.94,0.94,0.95,4,Tana River,47,121,10,178,40,Tana River,159,159,100,40,Tana River,"8,060",318,159,159,60,40,Tana River,476.4,40.3,487.9,42.4,539.8,27.8
Tharaka -Nithi,"3,924.60","4,214.20",855.91,829.59,254.75,350,"5,035.26","5,393.79",41,T/ Nithi,538,"98,983",184,Tharaka,"393,177","2,564.40",153,41,Tharaka Nithi,"88,591","3,852",23,"10,392",776,13,41,Tharaka Nithi,"98,983","4,628",21,41,Tharaka-Nithi,1,0.99,0.98,0.99,13,Tharaka-Nithi,353,71,2,426,41,Tharaka-Nithi,413,411,99.52,41,Tharaka-Nithi,"12,001",822,411,411,,41,Tharaka Nithi,558.4,8.4,579.6,9.8,566.5,15
Trans Nzoia,"5,760.30","7,186.16",733.14,724.98,340.45,529.5,"6,833.89","8,440.64",42,Trans Nzoia,621,"274,605",442,Trans Nzoia,"990,341","2,495.20",397,42,Trans Nzoia,"223,571","4,832",46,"51,034","2,461",21,42,Trans Nzoia,"274,605","7,293",38,42,Trans Nzoia,1,1,1,1,26,Trans Nzoia,365,2,10,377,42,Trans Nzoia,352,352,100,42,Trans Nzoia,"27,502",704,352,352,21,42,Trans Nzoia,486.6,33.3,480.3,32.9,498.7,22.9
Turkana,"10,539.45","12,609.31","1,295.35",939.55,209.83,180,"12,044.63","13,728.85",43,Turkana,469,"162,543",347,Turkana,"926,976","68,232.90",14,43,Turkana,"151,085","1,882",80,"11,458",461,25,43,Turkana,"162,543","2,343",69,43,Turkana,1.01,1.02,1.03,1.02,23,Turkana,41,379,28,448,43,Turkana,358,354,98.88,43,Turkana,"29,664",708,354,354,52,43,Turkana,467.4,20.2,430.3,12.3,425.8,42
Uasin Gishu,"6,330.00","8,068.86",877.39,762.15,"1,105.68","1,000.00","8,313.07","9,831.01",44,Uasin Gishu,845,"231,196",274,Uasin Gishu,"1,163,186","3,392.20",343,44,Uasin Gishu,"173,914","5,227",33,"57,282","2,986",19,44,Uasin Gishu,"231,196","8,213",28,44,Uasin Gishu,0.97,0.99,0.98,0.98,27,Uasin Gishu,460,0,14,474,44,Uasin Gishu,456,456,100,44,Uasin Gishu,"20,319",912,456,456,,44,Uasin Gishu,527.1,28.1,524.6,33.3,537.6,23.8
Vihiga,"4,652.55","5,067.36",737.84,570.61,169.11,232.7,"5,559.50","5,870.67",45,Vihiga,452,"169,354",375,Vihiga,"590,013","1,047","1,047",45,Vihiga,"158,689","4,180",38,"10,665",613,17,45,Vihiga,"169,354","4,793",35,45,Vihiga,1,1,1,1,38,Vihiga,380,0,4,384,45,Vihiga,378,378,100,45,Vihiga,"22,097",756,378,378,,45,Vihiga,531.4,31.6,558.6,31.9,552.2,36
Wajir,"8,545.50","9,474.73","1,288.48","1,313.36",73.96,100,"9,907.93","10,888.09",46,Wajir,306,"76,959",252,Wajir,"781,263","56,773.10",14,46,Wajir,"65,090","1,383",47,"11,869",381,31,46,Wajir,"76,959","1,764",44,46,Wajir,0.95,1.42,1.21,1.18,8,Wajir,60,177,21,258,46,Wajir,211,211,100,46,Wajir,"11,160",422,211,211,,46,Wajir,474.1,15.3,466.6,29.2,430.4,11.8
West Pokot,"5,000.70","6,297.28",813.58,713.25,68.87,170,"5,883.15","7,180.54",47,West Pokot,690,"195,379",283,West Pokot,"621,241","9,123.20",68,47,West Pokot,"180,476","3,398",53,"14,903",589,25,47,West Pokot,"195,379","3,987",49,47,West Pokot,1.05,1.04,1.07,1.05,24,West Pokot,231,338,85,654,47,West Pokot,498,498,100,47,West Pokot,"27,870",996,498,498,7,47,West Pokot,510.7,53.2,500.4,74.4,502.6,44.9
Total3,"316,500.00","370,000.00","47,002.61","39,880.89","34,444.28","56,749.96","397,946.90","466,630.85",,Grand Total,"32,344","10,072,040",311,Kenya (Total),"47,564,296","580,876.30",82,,Grand Total,"8,454,606","219,732",38,"1,617,434","66,948",24,,Grand Total,"10,072,040","286,680",35,,Grand Total,0.96,0.97,0.99,0.97,,Total,"19,018","3,755",610,"23,383",,Total,,,99.3,,Grand Total,"1,079,398","43,284","21,640","21,640","1,073",,National,500,24.6,498.1,25.9,499.7,22.9
