currently_attending_title,currently_attending_County_Sub_County,currently_attending_Total_astrsk,currently_attending_Pre_Primary,currently_attending_Primary,currently_attending_Secondary,currently_attending_Middle_Level_slash_Technical_and_Vocational_Training_TVET,currently_attending_University,currently_attending_Adult_Basic_Education,currently_attending_Madrasa_slash_Duksi,currently_attending_Dont_Know,currently_attending_Not_Stated,highest_edu_title,highest_edu_County_slash_Sub_County,highest_edu_Total_astrsk,highest_edu_Pre_Primary,highest_edu_Primary,highest_edu_Secondary,highest_edu_Middle Level_Technical_and_Vocational_Training_TVET,highest_edu_University,highest_edu_Adult_Basic_Education,highest_edu_Madrasa_slash_Duksi,highest_edu_None,highest_edu_Dont_Know,highest_edu_Not_Stated
NYALI,Female,"32,857","7,063","16,742","5,864","1,737","1,248",40,84,79,-,NYALI,Female,"88,952","5,725","35,793","23,941","10,866","4,853",33,3,"7,227",351,160
KWALE,KWALE,"334,612","82,822","207,769","36,756","4,107","1,936",355,355,512,-,KWALE,KWALE,"585,770","42,445","342,513","84,543","22,142","6,463",332,39,"84,380","1,871","1,042"
KWALE,Male,"171,696","42,535","106,020","19,415","1,883","1,195",185,185,278,-,KWALE,Male,"304,149","22,028","173,915","47,246","11,630","4,174",172,26,"43,305","1,045",608
KWALE,Female,"162,911","40,285","101,747","17,340","2,224",741,170,170,234,-,KWALE,Female,"281,610","20,414","168,593","37,297","10,511","2,289",160,13,"41,073",826,434
KINANGO,KINANGO,"38,765","10,237","24,613","3,320",371,136,45,4,39,-,KINANGO,KINANGO,"58,568","4,621","36,161","5,334","1,449",360,44,-,"10,417",140,42
KINANGO,Male,"20,011","5,269","12,650","1,772",183,100,22,-,15,-,KINANGO,Male,"30,470","2,459","18,420","3,006",858,257,19,-,"5,352",75,24
KINANGO,Female,"18,753","4,968","11,962","1,548",188,36,23,4,24,-,KINANGO,Female,"28,097","2,161","17,741","2,328",591,103,25,-,"5,065",65,18
LUNGA LUNGA,LUNGA LUNGA,"76,787","19,262","49,283","7,109",536,212,129,91,165,-,LUNGA LUNGA,LUNGA LUNGA,"122,221","11,355","74,624","12,253","2,569",632,126,4,"19,706",442,510
LUNGA LUNGA,Male,"39,663","9,874","25,237","3,916",279,141,75,50,91,-,LUNGA LUNGA,Male,"63,937","5,866","38,249","7,116","1,518",468,74,3,"10,085",247,311
LUNGA LUNGA,Female,"37,124","9,388","24,046","3,193",257,71,54,41,74,-,LUNGA LUNGA,Female,"58,283","5,488","36,375","5,137","1,051",164,52,1,"9,621",195,199
MATUGA,MATUGA,"76,734","18,054","47,029","9,802","1,063",534,81,70,101,-,MATUGA,MATUGA,"139,714","8,479","82,285","22,533","5,625","1,868",70,5,"18,317",418,114
MATUGA,Male,"39,476","9,371","24,173","5,005",463,323,38,42,61,-,MATUGA,Male,"72,298","4,480","41,392","12,500","2,878","1,197",34,3,"9,511",237,66
MATUGA,Female,"37,257","8,683","22,856","4,796",600,211,43,28,40,-,MATUGA,Female,"67,414","3,999","40,891","10,033","2,747",671,36,2,"8,806",181,48
MSAMBWENI,MSAMBWENI,"61,075","14,168","35,461","8,896","1,418",786,41,170,135,-,MSAMBWENI,MSAMBWENI,"136,026","7,335","71,110","30,232","9,154","2,826",38,26,"14,463",603,239
MSAMBWENI,Male,"30,868","7,154","17,885","4,579",619,450,22,85,74,-,MSAMBWENI,Male,"70,023","3,747","35,762","16,555","4,455","1,692",18,17,"7,302",338,137
MSAMBWENI,Female,"30,206","7,014","17,575","4,317",799,336,19,85,61,-,MSAMBWENI,Female,"66,000","3,587","35,347","13,677","4,698","1,134",20,9,"7,161",265,102
SAMBURU,SAMBURU,"81,251","21,101","51,383","7,629",719,268,59,20,72,-,SAMBURU,SAMBURU,"129,241","10,655","78,333","14,191","3,345",777,54,4,"21,477",268,137
SAMBURU,Male,"41,678","10,867","26,075","4,143",339,181,28,8,37,-,SAMBURU,Male,"67,421","5,476","40,092","8,069","1,921",560,27,3,"11,055",148,70
SAMBURU,Female,"39,571","10,232","25,308","3,486",380,87,31,12,35,-,SAMBURU,Female,"61,816","5,179","38,239","6,122","1,424",217,27,1,"10,420",120,67
KILIFI,KILIFI,"605,776","132,702","373,857","83,181","8,537","5,166",843,455,"1,035",-,KILIFI,KILIFI,"1,063,750","83,453","599,327","177,711","46,722","15,770",781,13,"135,660","3,071","1,242"
KILIFI,Male,"308,926","67,709","189,306","43,798","3,913","3,003",426,241,530,-,KILIFI,Male,"549,374","42,321","301,787","99,563","24,015","9,782",405,7,"69,143","1,673",678
KILIFI,Female,"296,841","64,991","184,545","39,382","4,624","2,163",417,214,505,-,KILIFI,Female,"514,362","41,132","297,531","78,148","22,706","5,988",376,6,"66,515","1,397",563
CHONYI,CHONYI,"28,875","6,082","18,035","4,326",251,107,44,-,30,-,CHONYI,CHONYI,"44,897","3,933","26,684","6,500","1,196",299,44,-,"6,157",61,23
CHONYI,Male,"14,936","3,144","9,219","2,328",128,72,27,-,18,-,CHONYI,Male,"23,263","1,972","13,335","3,768",717,212,27,-,"3,181",36,15
CHONYI,Female,"13,938","2,938","8,815","1,998",123,35,17,-,12,-,CHONYI,Female,"21,633","1,961","13,348","2,732",479,87,17,-,"2,976",25,8
GANZE,GANZE,"67,193","14,694","43,773","7,789",489,210,155,1,82,-,GANZE,GANZE,"95,274","9,143","58,252","9,644","2,138",565,153,1,"15,147",141,90
GANZE,Male,"34,222","7,461","22,188","4,059",250,149,80,1,34,-,GANZE,Male,"48,889","4,749","29,379","5,286","1,208",407,78,1,"7,671",69,41
GANZE,Female,"32,969","7,233","21,583","3,730",239,61,75,-,48,-,GANZE,Female,"46,383","4,394","28,871","4,358",930,158,75,-,"7,476",72,49
KALOLENI,KALOLENI,"80,964","17,657","51,727","9,803","1,026",426,126,28,171,-,KALOLENI,KALOLENI,"134,645","11,325","78,082","19,556","5,554","1,511",113,1,"17,996",317,190
KALOLENI,Male,"41,402","9,080","26,262","5,160",486,254,58,14,88,-,KALOLENI,Male,"69,960","5,912","39,605","10,914","2,978",965,56,1,"9,256",179,94
KALOLENI,Female,"39,559","8,575","25,464","4,643",540,172,68,14,83,-,KALOLENI,Female,"64,681","5,413","38,476","8,642","2,576",546,57,-,"8,738",138,95
KAUMA,KAUMA,"10,969","2,196","7,104","1,543",72,26,18,1,9,-,KAUMA,KAUMA,"16,076","1,615","9,683","2,098",291,78,15,-,"2,224",54,18
KAUMA,Male,"5,659","1,114","3,553",916,39,21,11,1,4,-,KAUMA,Male,"8,528",817,"5,000","1,301",170,56,9,-,"1,127",36,12
KAUMA,Female,"5,310","1,082","3,551",627,33,5,7,-,5,-,KAUMA,Female,"7,548",798,"4,683",797,121,22,6,-,"1,097",18,6
KILIFI NORTH,KILIFI NORTH,"72,834","17,073","41,645","10,609","1,693","1,607",34,49,124,-,KILIFI NORTH,KILIFI NORTH,"138,095","8,070","74,515","25,235","8,260","4,012",25,-,"17,400",480,98
KILIFI NORTH,Male,"36,930","8,728","20,935","5,542",723,891,19,27,65,-,KILIFI NORTH,Male,"70,668","4,153","36,942","13,840","4,114","2,411",18,-,"8,880",259,51
KILIFI NORTH,Female,"35,902","8,345","20,709","5,066",970,716,15,22,59,-,KILIFI NORTH,Female,"67,425","3,917","37,572","11,395","4,146","1,601",7,-,"8,520",220,47
KILIFI SOUTH,KILIFI SOUTH,"76,984","17,932","44,868","11,404","1,519",979,87,19,176,-,KILIFI SOUTH,KILIFI SOUTH,"158,925","10,757","80,815","35,112","9,754","3,416",83,3,"18,312",452,221
KILIFI SOUTH,Male,"39,007","9,231","22,518","5,918",672,526,37,12,93,-,KILIFI SOUTH,Male,"81,501","5,373","40,180","19,282","4,831","2,031",35,2,"9,409",231,127
KILIFI SOUTH,Female,"37,977","8,701","22,350","5,486",847,453,50,7,83,-,KILIFI SOUTH,Female,"77,423","5,384","40,635","15,830","4,922","1,385",48,1,"8,903",221,94
MAGARINI,MAGARINI,"86,722","17,604","56,983","10,939",620,239,182,68,87,-,MAGARINI,MAGARINI,"134,107","13,879","82,026","15,867","2,984",707,175,1,"18,078",294,96
MAGARINI,Male,"44,425","8,886","28,769","6,070",322,176,102,50,50,-,MAGARINI,Male,"70,300","6,987","42,083","9,531","1,744",509,98,1,"9,126",167,54
MAGARINI,Female,"42,297","8,718","28,214","4,869",298,63,80,18,37,-,MAGARINI,Female,"63,807","6,892","39,943","6,336","1,240",198,77,-,"8,952",127,42
MALINDI,MALINDI,"132,098","29,960","78,388","19,619","2,183","1,254",155,283,256,-,MALINDI,MALINDI,"252,086","17,738","137,812","47,716","12,355","4,320",143,4,"30,612",973,413
MALINDI,Male,"67,256","15,157","39,925","10,134",994,723,74,132,117,-,MALINDI,Male,"129,812","8,809","69,535","26,621","5,926","2,632",68,1,"15,472",521,227
MALINDI,Female,"64,841","14,803","38,462","9,485","1,189",531,81,151,139,-,MALINDI,Female,"122,270","8,929","68,273","21,095","6,429","1,688",75,3,"15,140",452,186
RABAI,RABAI,"49,137","9,504","31,334","7,149",684,318,42,6,100,-,RABAI,RABAI,"89,645","6,993","51,458","15,983","4,190",862,30,3,"9,734",299,93
RABAI,Male,"25,089","4,908","15,937","3,671",299,191,18,4,61,-,RABAI,Male,"46,453","3,549","25,728","9,020","2,327",559,16,1,"5,021",175,57
RABAI,Female,"24,048","4,596","15,397","3,478",385,127,24,2,39,-,RABAI,Female,"43,192","3,444","25,730","6,963","1,863",303,14,2,"4,713",124,36
TANA RIVER,TANA RIVER,"95,997","25,480","55,036","12,346","1,308",517,172,979,159,-,TANA RIVER,TANA RIVER,"158,000","13,849","84,250","25,033","5,354","1,432",163,13,"26,420","1,191",295
TANA RIVER,Male,"50,470","13,387","27,965","7,249",797,354,96,529,93,-,TANA RIVER,Male,"84,380","7,134","42,419","15,692","3,265","1,043",92,10,"13,896",673,156
TANA RIVER,Female,"45,527","12,093","27,071","5,097",511,163,76,450,66,-,TANA RIVER,Female,"73,620","6,715","41,831","9,341","2,089",389,71,3,"12,524",518,139
TANA DELTA,TANA DELTA,"38,308","10,395","22,155","4,821",365,161,31,339,41,-,TANA DELTA,TANA DELTA,"60,630","5,722","32,017","9,267","1,933",429,31,6,"10,667",449,109
TANA DELTA,Male,"19,808","5,417","11,093","2,757",212,116,17,178,18,-,TANA DELTA,Male,"32,005","2,866","15,998","5,744","1,206",319,18,4,"5,560",236,54
TANA DELTA,Female,"18,500","4,978","11,062","2,064",153,45,14,161,23,-,TANA DELTA,Female,"28,625","2,856","16,019","3,523",727,110,13,2,"5,107",213,55
TANA NORTH,TANA NORTH,"28,681","6,737","16,434","4,200",589,154,92,424,51,-,TANA NORTH,TANA NORTH,"46,803","4,521","24,636","8,035","1,423",416,88,1,"7,182",422,79
TANA NORTH,Male,"15,776","3,614","8,711","2,630",390,112,50,231,38,-,TANA NORTH,Male,"26,331","2,468","13,248","5,234",857,304,48,1,"3,866",256,49
TANA NORTH,Female,"12,905","3,123","7,723","1,570",199,42,42,193,13,-,TANA NORTH,Female,"20,472","2,053","11,388","2,801",566,112,40,-,"3,316",166,30
TANA RIVER,TANA RIVER,"29,008","8,348","16,447","3,325",354,202,49,216,67,-,TANA RIVER,TANA RIVER,"50,567","3,606","27,597","7,731","1,998",587,44,6,"8,571",320,107
TANA RIVER,Male,"14,886","4,356","8,161","1,862",195,126,29,120,37,-,TANA RIVER,Male,"26,044","1,800","13,173","4,714","1,202",420,26,5,"4,470",181,53
TANA RIVER,Female,"14,122","3,992","8,286","1,463",159,76,20,96,30,-,TANA RIVER,Female,"24,523","1,806","14,424","3,017",796,167,18,1,"4,101",139,54
LAMU,LAMU,"50,249","10,470","30,511","7,600",619,463,45,461,80,-,LAMU,LAMU,"103,880","6,942","58,049","20,178","4,543","1,638",32,10,"11,218","1,142",128
LAMU,Male,"25,969","5,389","15,566","4,101",310,277,24,264,38,-,LAMU,Male,"56,751","3,485","29,941","12,947","2,766","1,151",21,6,"5,768",594,72
