Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
EMBU NORTH,Male,"37,443","13,147 35.1","12,344 33.0","9,327 24.9","2,497 6.7",127,0.3,1
EMBU NORTH,Female,"37,748","12,108 32.1","12,321 32.6","9,009 23.9","4,218 11.2",89,0.2,3
EMBU WEST,EMBU WEST,"116,797","38,642 33.1","47,698 40.8","22,991 19.7","6,955 6.0",502,0.4,9
EMBU WEST,Male,"57,297","19,180 33.5","23,246 40.6","11,853 20.7","2,699 4.7",314,0.5,5
EMBU WEST,Female,"59,491","19,461 32.7","24,447 41.1","11,135 18.7","4,256 7.2",188,0.3,4
MBEERE SOUTH,MBEERE SOUTH,"152,697","58,147 38.1","45,348 29.7","34,852 22.8","13,558 8.9",762,0.5,30
MBEERE SOUTH,Male,"77,699","29,539 38.0","23,666 30.5","18,558 23.9","5,383 6.9",539,0.7,14
MBEERE SOUTH,Female,"74,993","28,606 38.1","21,679 28.9","16,294 21.7","8,175 10.9",223,0.3,16
MBEERE NORTH,MBEERE NORTH,"101,440","42,114 41.5","24,381 24.0","23,643 23.3","10,842 10.7",455,0.4,5
MBEERE NORTH,Male,"49,760","21,276 42.8","12,235 24.6","11,842 23.8","4,131 8.3",275,0.6,1
MBEERE NORTH,Female,"51,677","20,836 40.3","12,146 23.5","11,801 22.8","6,710 13.0",180,0.3,4
MT. KENYA FOREST,MT. KENYA FOREST,21,- -,20 95.2,1 4.8,- -,-,-,-
MT. KENYA FOREST,Male,18,- -,17 94.4,1 5.6,- -,-,-,-
MT. KENYA FOREST,Female,3,- -,3 100.0,- -,- -,-,-,-
KITUI,KITUI,"1,056,907","490,726 46.4","265,238 25.1","152,030 14.4","136,969 13.0","11,795",1.1,149
KITUI,Male,"508,247","250,178 49.2","127,266 25.0","72,606 14.3","51,705 10.2","6,431",1.3,61
KITUI,Female,"548,634","240,536 43.8","137,968 25.1","79,419 14.5","85,259 15.5","5,364",1,88
IKUTHA,IKUTHA,"77,563","39,676 51.2","15,378 19.8","11,877 15.3","9,400 12.1","1,229",1.6,3
IKUTHA,Male,"37,282","20,339 54.6","7,295 19.6","5,630 15.1","3,409 9.1",607,1.6,2
IKUTHA,Female,"40,281","19,337 48.0","8,083 20.1","6,247 15.5","5,991 14.9",622,1.5,1
KATULANI,KATULANI,"44,328","18,641 42.1","13,632 30.8","6,425 14.5","4,896 11.0",734,1.7,-
KATULANI,Male,"21,770","9,635 44.3","6,804 31.3","3,163 14.5","1,756 8.1",412,1.9,-
KATULANI,Female,"22,557","9,006 39.9","6,828 30.3","3,261 14.5","3,140 13.9",322,1.4,-
KISASI,KISASI,"43,226","19,501 45.1","10,676 24.7","7,396 17.1","5,286 12.2",360,0.8,7
KISASI,Male,"21,140","10,112 47.8","5,237 24.8","3,653 17.3","1,920 9.1",217,1,1
KISASI,Female,"22,086","9,389 42.5","5,439 24.6","3,743 16.9","3,366 15.2",143,0.6,6
KITUI CENTRAL,KITUI CENTRAL,"97,406","39,644 40.7","35,837 36.8","13,394 13.8","7,671 7.9",852,0.9,8
KITUI CENTRAL,Male,"47,435","20,082 42.3","17,446 36.8","6,621 14.0","2,811 5.9",471,1,4
KITUI CENTRAL,Female,"49,968","19,562 39.1","18,390 36.8","6,772 13.6","4,859 9.7",381,0.8,4
KITUI WEST,KITUI WEST,"66,202","29,215 44.1","21,826 33.0","8,742 13.2","5,922 8.9",497,0.8,-
KITUI WEST,Male,"31,558","14,933 47.3","10,062 31.9","4,257 13.5","2,024 6.4",282,0.9,-
KITUI WEST,Female,"34,643","14,281 41.2","11,764 34.0","4,485 12.9","3,898 11.3",215,0.6,-
KYUSO,KYUSO,"71,052","34,600 48.7","12,965 18.2","11,286 15.9","11,140 15.7","1,053",1.5,8
KYUSO,Male,"33,864","17,508 51.7","6,135 18.1","5,292 15.6","4,367 12.9",560,1.7,2
KYUSO,Female,"37,187","17,091 46.0","6,830 18.4","5,994 16.1","6,773 18.2",493,1.3,6
LOWER YATTA,LOWER YATTA,"59,184","26,585 44.9","14,826 25.1","9,950 16.8","6,806 11.5","1,011",1.7,6
LOWER YATTA,Male,"29,535","13,784 46.7","7,458 25.3","5,045 17.1","2,692 9.1",555,1.9,1
LOWER YATTA,Female,"29,649","12,801 43.2","7,368 24.9","4,905 16.5","4,114 13.9",456,1.5,5
MATINYANI,MATINYANI,"44,779","19,193 42.9","14,153 31.6","6,715 15.0","4,437 9.9",281,0.6,-
MATINYANI,Male,"21,869","9,909 45.3","6,897 31.5","3,394 15.5","1,484 6.8",185,0.8,-
MATINYANI,Female,"22,909","9,284 40.5","7,255 31.7","3,321 14.5","2,953 12.9",96,0.4,-
MIGWANI,MIGWANI,"73,803","33,664 45.6","23,025 31.2","8,964 12.1","7,271 9.9",855,1.2,24
MIGWANI,Male,"34,807","17,222 49.5","10,355 29.7","4,174 12.0","2,596 7.5",447,1.3,13
MIGWANI,Female,"38,993","16,440 42.2","12,669 32.5","4,790 12.3","4,675 12.0",408,1,11
MUMONI,MUMONI,"27,319","13,808 50.5","4,787 17.5","4,817 17.6","3,647 13.3",258,0.9,2
MUMONI,Male,"12,732","6,857 53.9","2,213 17.4","2,126 16.7","1,399 11.0",135,1.1,2
MUMONI,Female,"14,587","6,951 47.7","2,574 17.6","2,691 18.4","2,248 15.4",123,0.8,-
MUTITU,MUTITU,"51,464","25,958 50.4","8,943 17.4","6,259 12.2","9,577 18.6",678,1.3,49
MUTITU,Male,"24,422","13,084 53.6","4,347 17.8","2,920 12.0","3,695 15.1",355,1.5,21
MUTITU,Female,"27,040","12,872 47.6","4,596 17.0","3,339 12.3","5,882 21.8",323,1.2,28
MUTITU NORTH,MUTITU NORTH,"19,815","9,275 46.8","4,869 24.6","2,857 14.4","2,657 13.4",152,0.8,5
MUTITU NORTH,Male,"9,620","4,763 49.5","2,437 25.3","1,354 14.1",962 10.0,101,1,3
MUTITU NORTH,Female,"10,194","4,511 44.3","2,432 23.9","1,503 14.7","1,695 16.6",51,0.5,2
MUTOMO,MUTOMO,"105,422","51,247 48.6","21,277 20.2","14,541 13.8","17,523 16.6",828,0.8,6
MUTOMO,Male,"50,656","25,989 51.3","10,464 20.7","6,943 13.7","6,776 13.4",480,0.9,4
MUTOMO,Female,"54,761","25,256 46.1","10,813 19.7","7,597 13.9","10,745 19.6",348,0.6,2
MWINGI CENTRAL,MWINGI CENTRAL,"100,501","46,035 45.8","26,978 26.8","13,360 13.3","13,107 13.0","1,007",1,14
MWINGI CENTRAL,Male,"48,132","23,501 48.8","12,588 26.2","6,252 13.0","5,242 10.9",545,1.1,4
MWINGI CENTRAL,Female,"52,369","22,534 43.0","14,390 27.5","7,108 13.6","7,865 15.0",462,0.9,10
MWINGI EAST,MWINGI EAST,"79,205","39,172 49.5","14,419 18.2","10,957 13.8","13,537 17.1","1,103",1.4,17
MWINGI EAST,Male,"37,382","19,856 53.1","6,738 18.0","4,941 13.2","5,281 14.1",562,1.5,4
MWINGI EAST,Female,"41,818","19,314 46.2","7,680 18.4","6,015 14.4","8,255 19.7",541,1.3,13
NZAMBANI,NZAMBANI,"43,682","19,051 43.6","12,982 29.7","6,592 15.1","4,717 10.8",340,0.8,-
NZAMBANI,Male,"21,356","9,831 46.0","6,486 30.4","3,137 14.7","1,716 8.0",186,0.9,-
NZAMBANI,Female,"22,324","9,220 41.3","6,496 29.1","3,454 15.5","3,000 13.4",154,0.7,-
THAGICU,THAGICU,"14,025","6,905 49.2","2,593 18.5","2,280 16.3","2,182 15.6",65,0.5,-
THAGICU,Male,"6,591","3,457 52.5","1,210 18.4","1,078 16.4",810 12.3,36,0.5,-
THAGICU,Female,"7,433","3,447 46.4","1,383 18.6","1,202 16.2","1,372 18.5",29,0.4,-
TSEIKURU,TSEIKURU,"37,931","18,556 48.9","6,072 16.0","5,618 14.8","7,193 19.0",492,1.3,-
TSEIKURU,Male,"18,096","9,316 51.5","3,094 17.1","2,626 14.5","2,765 15.3",295,1.6,-
TSEIKURU,Female,"19,835","9,240 46.6","2,978 15.0","2,992 15.1","4,428 22.3",197,1,-
MACHAKOS,MACHAKOS,"1,327,172","505,677 38.1","519,446 39.1","203,283 15.3","86,929 6.5","11,638",0.9,199
MACHAKOS,Male,"661,982","258,981 39.1","262,961 39.7","99,048 15.0","34,692 5.2","6,197",0.9,103
MACHAKOS,Female,"665,162","246,686 37.1","256,474 38.6","104,232 15.7","52,234 7.9","5,440",0.8,96
ATHI RIVER,ATHI RIVER,"295,790","98,497 33.3","151,215 51.1","32,500 11.0","10,789 3.6","2,662",0.9,127
ATHI RIVER,Male,"150,511","49,337 32.8","78,486 52.1","15,929 10.6","5,253 3.5","1,441",1,65
ATHI RIVER,Female,"145,277","49,159 33.8","72,729 50.1","16,571 11.4","5,535 3.8","1,221",0.8,62
KALAMA,KALAMA,"51,542","19,779 38.4","19,205 37.3","6,915 13.4","5,181 10.1",461,0.9,1
KALAMA,Male,"25,273","10,196 40.3","9,565 37.8","3,216 12.7","2,066 8.2",229,0.9,1
KALAMA,Female,"26,264","9,582 36.5","9,636 36.7","3,699 14.1","3,115 11.9",232,0.9,-
KANGUNDO,KANGUNDO,"92,505","35,182 38.0","34,196 37.0","17,672 19.1","5,041 5.4",412,0.4,2
KANGUNDO,Male,"45,935","18,188 39.6","17,431 37.9","8,242 17.9","1,855 4.0",218,0.5,1
KANGUNDO,Female,"46,569","16,994 36.5","16,765 36.0","9,429 20.2","3,186 6.8",194,0.4,1
KATHIANI,KATHIANI,"105,562","42,712 40.5","36,686 34.8","18,540 17.6","6,877 6.5",734,0.7,13
KATHIANI,Male,"51,709","22,119 42.8","18,110 35.0","8,618 16.7","2,445 4.7",411,0.8,6
KATHIANI,Female,"53,849","20,591 38.2","18,575 34.5","9,921 18.4","4,432 8.2",323,0.6,7
MACHAKOS,MACHAKOS,"158,036","54,322 34.4","75,229 47.6","19,480 12.3","7,820 4.9","1,170",0.7,15
MACHAKOS,Male,"78,763","27,561 35.0","37,985 48.2","9,600 12.2","3,024 3.8",584,0.7,9
MACHAKOS,Female,"79,267","26,758 33.8","37,241 47.0","9,880 12.5","4,796 6.1",586,0.7,6
MASINGA,MASINGA,"138,933","59,688 43.0","38,008 27.4","26,094 18.8","13,506 9.7","1,621",1.2,16
MASINGA,Male,"68,657","30,933 45.1","18,453 26.9","12,995 18.9","5,404 7.9",863,1.3,9
MASINGA,Female,"70,274","28,754 40.9","19,555 27.8","13,098 18.6","8,102 11.5",758,1.1,7
MATUNGULU,MATUNGULU,"151,535","58,093 38.3","56,185 37.1","26,731 17.6","8,879 5.9","1,639",1.1,8
MATUNGULU,Male,"76,123","29,817 39.2","28,908 38.0","12,874 16.9","3,618 4.8",904,1.2,2
MATUNGULU,Female,"75,408","28,274 37.5","27,276 36.2","13,857 18.4","5,261 7.0",734,1,6
MWALA,MWALA,"171,999","69,402 40.4","59,957 34.9","27,719 16.1","13,925 8.1",985,0.6,11
MWALA,Male,"85,399","36,048 42.2","29,913 35.0","13,803 16.2","5,114 6.0",513,0.6,8
MWALA,Female,"86,597","33,354 38.5","30,043 34.7","13,916 16.1","8,809 10.2",472,0.5,3
YATTA,YATTA,"161,270","68,002 42.2","48,765 30.2","27,632 17.1","14,911 9.2","1,954",1.2,6
YATTA,Male,"79,612","34,782 43.7","24,110 30.3","13,771 17.3","5,913 7.4","1,034",1.3,2
YATTA,Female,"81,657","33,220 40.7","24,654 30.2","13,861 17.0","8,998 11.0",920,1.1,4
MAKUENI,MAKUENI,"921,168","395,627 42.9","276,206 30.0","165,325 17.9","71,509 7.8","12,357",1.3,144
MAKUENI,Male,"453,946","202,949 44.7","135,938 29.9","81,353 17.9","26,987 5.9","6,657",1.5,62
MAKUENI,Female,"467,204","192,669 41.2","140,265 30.0","83,969 18.0","44,519 9.5","5,700",1.2,82
KATHONZWENI,KATHONZWENI,"74,893","33,164 44.3","21,495 28.7","12,469 16.6","6,114 8.2","1,647",2.2,4
KATHONZWENI,Male,"36,846","17,094 46.4","10,424 28.3","6,164 16.7","2,307 6.3",855,2.3,2
KATHONZWENI,Female,"38,044","16,069 42.2","11,070 29.1","6,304 16.6","3,807 10.0",792,2.1,2
KIBWEZI,KIBWEZI,"182,688","82,524 45.2","46,652 25.5","34,188 18.7","16,731 9.2","2,573",1.4,20
KIBWEZI,Male,"90,350","42,482 47.0","23,054 25.5","16,761 18.6","6,608 7.3","1,437",1.6,8
KIBWEZI,Female,"92,334","40,039 43.4","23,597 25.6","17,427 18.9","10,123 11.0","1,136",1.2,12
KILUNGU,KILUNGU,"57,412","25,498 44.4","17,145 29.9","9,870 17.2","4,293 7.5",593,1,13
KILUNGU,Male,"27,241","12,802 47.0","8,021 29.4","4,614 16.9","1,537 5.6",261,1,6
KILUNGU,Female,"30,170","12,696 42.1","9,124 30.2","5,255 17.4","2,756 9.1",332,1.1,7
MAKINDU,MAKINDU,"78,427","33,771 43.1","23,198 29.6","13,632 17.4","6,705 8.5","1,094",1.4,27
MAKINDU,Male,"38,462","17,300 45.0","11,232 29.2","6,669 17.3","2,643 6.9",607,1.6,11
MAKINDU,Female,"39,965","16,471 41.2","11,966 29.9","6,963 17.4","4,062 10.2",487,1.2,16
MAKUENI,MAKUENI,"121,484","48,433 39.9","43,475 35.8","20,754 17.1","7,656 6.3","1,162",1,4
MAKUENI,Male,"60,589","24,818 41.0","21,905 36.2","10,371 17.1","2,852 4.7",642,1.1,1
MAKUENI,Female,"60,893","23,613 38.8","21,570 35.4","10,383 17.1","4,804 7.9",520,0.9,3
MBOONI EAST,MBOONI EAST,"92,210","39,608 43.0","26,985 29.3","16,829 18.3","7,480 8.1","1,305",1.4,3
MBOONI EAST,Male,"45,311","20,632 45.5","13,134 29.0","8,175 18.0","2,633 5.8",736,1.6,1
MBOONI EAST,Female,"46,896","18,975 40.5","13,851 29.5","8,654 18.5","4,845 10.3",569,1.2,2
MBOONI WEST,MBOONI WEST,"96,464","42,564 44.1","27,054 28.0","18,984 19.7","6,328 6.6","1,526",1.6,8
MBOONI WEST,Male,"46,405","21,819 47.0","12,650 27.3","8,935 19.3","2,246 4.8",752,1.6,3
MBOONI WEST,Female,"50,058","20,745 41.4","14,403 28.8","10,049 20.1","4,082 8.2",774,1.5,5
MUKAA,MUKAA,"100,143","39,315 39.3","34,130 34.1","18,394 18.4","7,018 7.0","1,254",1.3,32
MUKAA,Male,"50,574","20,066 39.7","17,528 34.7","9,435 18.7","2,821 5.6",711,1.4,13
MUKAA,Female,"49,569","19,249 38.8","16,602 33.5","8,959 18.1","4,197 8.5",543,1.1,19
NZAUI,NZAUI,"117,447","50,750 43.2","36,072 30.7","20,205 17.2","9,184 7.8","1,203",1,33
NZAUI,Male,"58,168","25,936 44.6","17,990 30.9","10,229 17.6","3,340 5.7",656,1.1,17
NZAUI,Female,"59,275","24,812 41.9","18,082 30.5","9,975 16.8","5,843 9.9",547,0.9,16
NYANDARUA,NYANDARUA,"594,649","249,756 42.0","199,054 33.5","105,160 17.7","38,777 6.5","1,836",0.3,66
NYANDARUA,Male,"292,917","128,283 43.8","98,748 33.7","50,160 17.1","14,653 5.0","1,041",0.4,32
NYANDARUA,Female,"301,715","121,466 40.3","100,304 33.2","54,994 18.2","24,123 8.0",795,0.3,33
KINANGOP,KINANGOP,"103,793","43,363 41.8","33,354 32.1","19,541 18.8","7,351 7.1",168,0.2,16
KINANGOP,Male,"50,836","22,094 43.5","16,353 32.2","9,382 18.5","2,882 5.7",116,0.2,9
KINANGOP,Female,"52,953","21,268 40.2","17,000 32.1","10,158 19.2","4,468 8.4",52,0.1,7
NYANDARUA SOUTH,NYANDARUA SOUTH,"87,189","37,199 42.7","29,986 34.4","14,567 16.7","5,251 6.0",182,0.2,4
NYANDARUA SOUTH,Male,"42,802","19,039 44.5","14,613 34.1","7,050 16.5","1,992 4.7",106,0.2,2
NYANDARUA SOUTH,Female,"44,384","18,158 40.9","15,373 34.6","7,516 16.9","3,259 7.3",76,0.2,2
MIRANGINE,MIRANGINE,"62,731","26,957 43.0","19,491 31.1","11,511 18.3","4,621 7.4",144,0.2,7
MIRANGINE,Male,"31,220","13,817 44.3","9,849 31.5","5,630 18.0","1,833 5.9",88,0.3,3
MIRANGINE,Female,"31,510","13,139 41.7","9,642 30.6","5,881 18.7","2,788 8.8",56,0.2,4
KIPIPIRI,KIPIPIRI,"87,881","38,278 43.6","27,710 31.5","15,268 17.4","6,377 7.3",234,0.3,14
KIPIPIRI,Male,"43,161","19,577 45.4","13,860 32.1","7,302 16.9","2,298 5.3",118,0.3,6
KIPIPIRI,Female,"44,718","18,701 41.8","13,850 31.0","7,964 17.8","4,079 9.1",116,0.3,8
NYANDARUA CENTRAL,NYANDARUA CENTRAL,"69,596","28,484 40.9","23,605 33.9","12,828 18.4","4,400 6.3",270,0.4,9
NYANDARUA CENTRAL,Male,"34,508","14,750 42.7","11,848 34.3","6,081 17.6","1,658 4.8",166,0.5,5
NYANDARUA CENTRAL,Female,"35,087","13,733 39.1","11,757 33.5","6,747 19.2","2,742 7.8",104,0.3,4
NYANDARUA WEST,NYANDARUA WEST,"91,217","37,017 40.6","31,439 34.5","17,344 19.0","5,061 5.5",352,0.4,4
NYANDARUA WEST,Male,"45,240","19,269 42.6","15,651 34.6","8,221 18.2","1,908 4.2",190,0.4,1
NYANDARUA WEST,Female,"45,973","17,746 38.6","15,788 34.3","9,121 19.8","3,153 6.9",162,0.4,3
NYANDARUA NORTH,NYANDARUA NORTH,"92,228","38,458 41.7","33,455 36.3","14,101 15.3","5,716 6.2",486,0.5,12
NYANDARUA NORTH,Male,"45,140","19,737 43.7","16,564 36.7","6,494 14.4","2,082 4.6",257,0.6,6
NYANDARUA NORTH,Female,"47,086","18,721 39.8","16,890 35.9","7,607 16.2","3,634 7.7",229,0.5,5
ABERDARE NATIONAL PARK,ABERDARE NATIONAL PARK,14,- -,14 100.0,- -,- -,-,-,-
ABERDARE NATIONAL PARK,Male,10,- -,10 100.0,- -,- -,-,-,-
ABERDARE NATIONAL PARK,Female,4,- -,4 100.0,- -,- -,-,-,-
NYERI,NYERI,"709,353","253,898 35.8","301,927 42.6","113,307 16.0","36,036 5.1","4,138",0.6,47
NYERI,Male,"348,266","130,417 37.4","150,457 43.2","52,289 15.0","12,895 3.7","2,180",0.6,28
NYERI,Female,"361,061","123,475 34.2","151,460 41.9","61,009 16.9","23,140 6.4","1,958",0.5,19
TETU,TETU,"75,931","26,827 35.3","32,415 42.7","12,312 16.2","4,121 5.4",254,0.3,2
TETU,Male,"37,083","13,866 37.4","16,314 44.0","5,406 14.6","1,370 3.7",126,0.3,1
TETU,Female,"38,846","12,961 33.4","16,099 41.4","6,906 17.8","2,751 7.1",128,0.3,1
KIENI EAST,KIENI EAST,"102,812","37,003 36.0","44,148 42.9","16,204 15.8","5,012 4.9",437,0.4,8
KIENI EAST,Male,"51,442","18,863 36.7","22,297 43.3","7,941 15.4","2,089 4.1",246,0.5,6
KIENI EAST,Female,"51,366","18,139 35.3","21,850 42.5","8,261 16.1","2,923 5.7",191,0.4,2
KIENI WEST,KIENI WEST,"82,829","31,845 38.4","33,177 40.1","12,931 15.6","4,335 5.2",536,0.6,5
KIENI WEST,Male,"41,026","16,390 40.0","16,583 40.4","6,125 14.9","1,633 4.0",292,0.7,3
KIENI WEST,Female,"41,798","15,455 37.0","16,590 39.7","6,805 16.3","2,702 6.5",244,0.6,2
MATHIRA EAST,MATHIRA EAST,"93,027","33,214 35.7","39,579 42.5","15,655 16.8","4,026 4.3",550,0.6,3
MATHIRA EAST,Male,"44,995","16,909 37.6","19,387 43.1","7,031 15.6","1,391 3.1",276,0.6,1
MATHIRA EAST,Female,"48,029","16,305 33.9","20,192 42.0","8,621 17.9","2,635 5.5",274,0.6,2
MATHIRA WEST,MATHIRA WEST,"56,676","19,857 35.0","23,194 40.9","10,677 18.8","2,723 4.8",217,0.4,8
MATHIRA WEST,Male,"27,860","10,272 36.9","11,742 42.1","4,783 17.2",942 3.4,118,0.4,3
MATHIRA WEST,Female,"28,813","9,585 33.3","11,450 39.7","5,893 20.5","1,781 6.2",99,0.3,5
NYERI SOUTH,NYERI SOUTH,"85,827","30,669 35.7","35,818 41.7","13,494 15.7","5,441 6.3",403,0.5,2
NYERI SOUTH,Male,"41,443","15,718 37.9","17,671 42.6","6,140 14.8","1,688 4.1",225,0.5,1
NYERI SOUTH,Female,"44,383","14,950 33.7","18,147 40.9","7,354 16.6","3,753 8.5",178,0.4,1
MUKURWE-INI,MUKURWE-INI,"83,933","30,159 35.9","31,566 37.6","15,892 18.9","5,655 6.7",657,0.8,4
MUKURWE-INI,Male,"41,386","15,861 38.3","15,909 38.4","7,390 17.9","1,883 4.5",341,0.8,2
MUKURWE-INI,Female,"42,541","14,296 33.6","15,656 36.8","8,500 20.0","3,771 8.9",316,0.7,2
NYERI CENTRAL,NYERI CENTRAL,"128,041","44,275 34.6","61,841 48.3","16,110 12.6","4,716 3.7","1,084",0.8,15
NYERI CENTRAL,Male,"62,843","22,509 35.8","30,425 48.4","7,449 11.9","1,893 3.0",556,0.9,11
NYERI CENTRAL,Female,"65,196","21,764 33.4","31,416 48.2","8,661 13.3","2,823 4.3",528,0.8,4
MT. KENYA FOREST,MT. KENYA FOREST,178,44 24.7,101 56.7,29 16.3,4 2.2,-,-,-
MT. KENYA FOREST,Male,118,25 21.2,66 55.9,24 20.3,3 2.5,-,-,-
MT. KENYA FOREST,Female,60,19 31.7,35 58.3,5 8.3,1 1.7,-,-,-
ABERDARE FOREST,ABERDARE FOREST,99,5 5.1,88 88.9,3 3.0,3 3.0,-,-,-
ABERDARE FOREST,Male,70,4 5.7,63 90.0,- -,3 4.3,-,-,-
ABERDARE FOREST,Female,29,1 3.4,25 86.2,3 10.3,- -,-,-,-
KIRINYAGA,KIRINYAGA,"571,312","193,518 33.9","199,413 34.9","136,968 24.0","37,445 6.6","3,931",0.7,37
KIRINYAGA,Male,"281,556","98,661 35.0","100,582 35.7","67,459 24.0","12,577 4.5","2,256",0.8,21
KIRINYAGA,Female,"289,729","94,852 32.7","98,822 34.1","69,497 24.0","24,867 8.6","1,675",0.6,16
KIRINYAGA CENTRAL,KIRINYAGA CENTRAL,"114,807","38,430 33.5","44,653 38.9","23,571 20.5","7,105 6.2","1,045",0.9,3
KIRINYAGA CENTRAL,Male,"55,919","19,502 34.9","22,314 39.9","11,449 20.5","2,062 3.7",590,1.1,2
KIRINYAGA CENTRAL,Female,"58,884","18,927 32.1","22,337 37.9","12,121 20.6","5,043 8.6",455,0.8,1
KIRINYAGA EAST,KIRINYAGA EAST,"127,964","41,819 32.7","43,513 34.0","33,261 26.0","8,620 6.7",731,0.6,20
KIRINYAGA EAST,Male,"63,267","21,314 33.7","22,222 35.1","16,536 26.1","2,760 4.4",423,0.7,12
KIRINYAGA EAST,Female,"64,689","20,504 31.7","21,289 32.9","16,720 25.8","5,860 9.1",308,0.5,8
KIRINYAGA WEST,KIRINYAGA WEST,"107,763","37,514 34.8","41,086 38.1","21,824 20.3","6,793 6.3",543,0.5,3
KIRINYAGA WEST,Male,"52,630","19,180 36.4","20,574 39.1","10,450 19.9","2,156 4.1",268,0.5,2
KIRINYAGA WEST,Female,"55,129","18,333 33.3","20,511 37.2","11,373 20.6","4,636 8.4",275,0.5,1
MWEA EAST,MWEA EAST,"122,344","40,992 33.5","40,192 32.9","31,782 26.0","8,308 6.8","1,061",0.9,9
MWEA EAST,Male,"60,740","20,775 34.2","20,158 33.2","15,823 26.1","3,335 5.5",644,1.1,5
MWEA EAST,Female,"61,598","20,216 32.8","20,033 32.5","15,955 25.9","4,973 8.1",417,0.7,4
MWEA WEST,MWEA WEST,"98,400","34,760 35.3","29,941 30.4","26,527 27.0","6,619 6.7",551,0.6,2
MWEA WEST,Male,"48,976","17,890 36.5","15,292 31.2","13,199 26.9","2,264 4.6",331,0.7,-
MWEA WEST,Female,"49,419","16,869 34.1","14,646 29.6","13,327 27.0","4,355 8.8",220,0.4,2
MT. KENYA FOREST,MT. KENYA FOREST,34,3 8.8,28 82.4,3 8.8,- -,-,-,-
MT. KENYA FOREST,Male,24,- -,22 91.7,2 8.3,- -,-,-,-
MT. KENYA FOREST,Female,10,3 30.0,6 60.0,1 10.0,- -,-,-,-
MURANG'A,MURANG'A,"988,224","358,844 36.3","358,964 36.3","193,814 19.6","72,326 7.3","4,133",0.4,143
MURANG'A,Male,"488,689","184,250 37.7","182,572 37.4","93,190 19.1","26,285 5.4","2,319",0.5,73
MURANG'A,Female,"499,505","174,580 35.0","176,382 35.3","100,619 20.1","46,040 9.2","1,814",0.4,70
MURANG'A EAST,MURANG'A EAST,"101,606","35,232 34.7","41,784 41.1","16,745 16.5","7,418 7.3",421,0.4,6
MURANG'A EAST,Male,"49,826","17,772 35.7","20,968 42.1","8,183 16.4","2,671 5.4",230,0.5,2
MURANG'A EAST,Female,"51,779","17,459 33.7","20,816 40.2","8,562 16.5","4,747 9.2",191,0.4,4
KANGEMA,KANGEMA,"75,668","26,598 35.2","29,670 39.2","13,379 17.7","5,775 7.6",246,0.3,-
KANGEMA,Male,"37,165","13,778 37.1","14,793 39.8","6,461 17.4","1,999 5.4",134,0.4,-
KANGEMA,Female,"38,500","12,818 33.3","14,876 38.6","6,918 18.0","3,776 9.8",112,0.3,-
MATHIOYA,MATHIOYA,"87,438","31,439 36.0","32,226 36.9","15,594 17.8","7,766 8.9",398,0.5,15
MATHIOYA,Male,"42,738","16,161 37.8","16,094 37.7","7,587 17.8","2,686 6.3",203,0.5,7
MATHIOYA,Female,"44,699","15,278 34.2","16,131 36.1","8,007 17.9","5,080 11.4",195,0.4,8
KAHURO,KAHURO,"83,338","29,727 35.7","29,774 35.7","17,421 20.9","6,090 7.3",318,0.4,8
KAHURO,Male,"40,864","15,443 37.8","14,898 36.5","8,219 20.1","2,133 5.2",166,0.4,5
KAHURO,Female,"42,467","14,279 33.6","14,874 35.0","9,202 21.7","3,957 9.3",152,0.4,3
MURANG'A SOUTH,MURANG'A SOUTH,"172,158","64,167 37.3","59,067 34.3","35,977 20.9","12,238 7.1",682,0.4,27
MURANG'A SOUTH,Male,"85,252","32,909 38.6","30,308 35.6","17,034 20.0","4,565 5.4",422,0.5,14
MURANG'A SOUTH,Female,"86,901","31,256 36.0","28,756 33.1","18,943 21.8","7,673 8.8",260,0.3,13
GATANGA,GATANGA,"175,723","65,058 37.0","64,029 36.4","34,256 19.5","11,552 6.6",799,0.5,29
GATANGA,Male,"88,134","33,338 37.8","33,059 37.5","16,925 19.2","4,356 4.9",441,0.5,15
GATANGA,Female,"87,586","31,719 36.2","30,969 35.4","17,330 19.8","7,196 8.2",358,0.4,14
KIGUMO,KIGUMO,"128,481","46,894 36.5","43,644 34.0","27,598 21.5","9,786 7.6",530,0.4,29
KIGUMO,Male,"63,728","24,235 38.0","22,240 34.9","13,257 20.8","3,685 5.8",295,0.5,16
KIGUMO,Female,"64,750","22,658 35.0","21,403 33.1","14,340 22.1","6,101 9.4",235,0.4,13
KANDARA,KANDARA,"163,770","59,723 36.5","58,742 35.9","32,837 20.1","11,700 7.1",739,0.5,29
KANDARA,Male,"80,952","30,612 37.8","30,189 37.3","15,519 19.2","4,190 5.2",428,0.5,14
KANDARA,Female,"82,811","29,109 35.2","28,552 34.5","17,315 20.9","7,509 9.1",311,0.4,15
ABERDARE FOREST,ABERDARE FOREST,42,6 14.3,28 66.7,7 16.7,1 2.4,-,-,-
ABERDARE FOREST,Male,30,2 6.7,23 76.7,5 16.7,- -,-,-,-
ABERDARE FOREST,Female,12,4 33.3,5 41.7,2 16.7,1 8.3,-,-,-
