Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number
SEME,Female,"59,495","27,628 46.4","12,039 20.2","12,432 20.9","7,179 12.1",211,0.4,6
MUHORONI,MUHORONI,"141,120","68,825 48.8","28,826 20.4","29,536 20.9","12,651 9.0","1,251",0.9,31
MUHORONI,Male,"69,743","35,108 50.3","15,374 22.0","13,517 19.4","5,054 7.2",672,1,18
MUHORONI,Female,"71,376","33,716 47.2","13,452 18.8","16,019 22.4","7,597 10.6",579,0.8,13
NYANDO,NYANDO,"149,436","73,976 49.5","34,433 23.0","27,043 18.1","12,561 8.4","1,381",0.9,42
NYANDO,Male,"71,048","37,454 52.7","17,294 24.3","11,030 15.5","4,526 6.4",723,1,21
NYANDO,Female,"78,383","36,521 46.6","17,136 21.9","16,013 20.4","8,034 10.2",658,0.8,21
NYAKACH,NYAKACH,"139,931","72,050 51.5","29,232 20.9","26,202 18.7","11,505 8.2",895,0.6,47
NYAKACH,Male,"66,050","36,813 55.7","14,492 21.9","10,422 15.8","3,876 5.9",423,0.6,24
NYAKACH,Female,"73,880","35,237 47.7","14,740 20.0","15,779 21.4","7,629 10.3",472,0.6,23
HOMA BAY,HOMA BAY,"1,037,468","539,753 52.0","196,288 18.9","200,313 19.3","94,406 9.1","6,627",0.6,81
HOMA BAY,Male,"491,680","274,952 55.9","98,363 20.0","79,996 16.3","34,878 7.1","3,451",0.7,40
HOMA BAY,Female,"545,768","264,796 48.5","97,920 17.9","120,311 22.0","59,526 10.9","3,174",0.6,41
HOMA BAY SUBCOUNTY,HOMA BAY,"106,961","54,222 50.7","26,496 24.8","17,746 16.6","7,718 7.2",767,0.7,12
HOMA BAY SUBCOUNTY,Male,"50,299","27,015 53.7","13,192 26.2","6,818 13.6","2,857 5.7",411,0.8,6
HOMA BAY SUBCOUNTY,Female,"56,661","27,207 48.0","13,303 23.5","10,928 19.3","4,861 8.6",356,0.6,6
NDHIWA,NDHIWA,"198,409","105,309 53.1","28,387 14.3","43,093 21.7","20,505 10.3","1,103",0.6,12
NDHIWA,Male,"93,863","53,904 57.4","14,641 15.6","17,114 18.2","7,627 8.1",571,0.6,6
NDHIWA,Female,"104,539","51,403 49.2","13,745 13.1","25,977 24.8","12,877 12.3",531,0.5,6
RACHUONYO NORTH,RACHUONYO NORTH,"165,147","84,682 51.3","32,958 20.0","32,781 19.8","13,878 8.4",829,0.5,19
RACHUONYO NORTH,Male,"78,464","43,300 55.2","16,599 21.2","13,138 16.7","4,949 6.3",468,0.6,10
RACHUONYO NORTH,Female,"86,679","41,382 47.7","16,359 18.9","19,640 22.7","8,928 10.3",361,0.4,9
RACHUONYO EAST,RACHUONYO EAST,"112,267","60,292 53.7","20,594 18.3","21,293 19.0","9,434 8.4",652,0.6,2
RACHUONYO EAST,Male,"52,912","30,901 58.4","10,085 19.1","8,337 15.8","3,260 6.2",328,0.6,1
RACHUONYO EAST,Female,"59,353","29,390 49.5","10,508 17.7","12,956 21.8","6,174 10.4",324,0.5,1
RACHUONYO SOUTH,RACHUONYO SOUTH,"120,330","63,280 52.6","26,103 21.7","21,508 17.9","8,804 7.3",633,0.5,2
RACHUONYO SOUTH,Male,"56,383","31,952 56.7","12,557 22.3","8,379 14.9","3,160 5.6",334,0.6,1
RACHUONYO SOUTH,Female,"63,947","31,328 49.0","13,546 21.2","13,129 20.5","5,644 8.8",299,0.5,1
RANGWE,RANGWE,"108,345","57,746 53.3","17,420 16.1","20,795 19.2","10,835 10.0","1,535",1.4,14
RANGWE,Male,"50,653","29,547 58.3","8,345 16.5","8,132 16.1","3,862 7.6",762,1.5,5
RANGWE,Female,"57,689","28,197 48.9","9,075 15.7","12,663 22.0","6,973 12.1",772,1.3,9
SUBA NORTH,SUBA NORTH,"114,461","56,957 49.8","24,214 21.2","22,750 19.9","9,855 8.6",680,0.6,5
SUBA NORTH,Male,"55,323","28,966 52.4","12,562 22.7","9,559 17.3","3,871 7.0",362,0.7,3
SUBA NORTH,Female,"59,137","27,991 47.3","11,652 19.7","13,190 22.3","5,984 10.1",318,0.5,2
SUBA SOUTH,SUBA SOUTH,"111,548","57,265 51.3","20,116 18.0","20,347 18.2","13,377 12.0",428,0.4,15
SUBA SOUTH,Male,"53,783","29,367 54.6","10,382 19.3","8,519 15.8","5,292 9.8",215,0.4,8
SUBA SOUTH,Female,"57,763","27,898 48.3","9,732 16.8","11,828 20.5","8,085 14.0",213,0.4,7
MIGORI,MIGORI,"1,016,399","522,757 51.4","171,900 16.9","197,075 19.4","114,682 11.3","9,774",1,211
MIGORI,Male,"486,357","265,417 54.6","88,443 18.2","81,365 16.7","46,115 9.5","4,923",1,94
MIGORI,Female,"530,012","257,326 48.6","83,455 15.7","115,706 21.8","68,559 12.9","4,849",0.9,117
AWENDO,AWENDO,"107,090","56,849 53.1","20,331 19.0","22,396 20.9","6,982 6.5",503,0.5,29
AWENDO,Male,"51,345","29,012 56.5","10,532 20.5","8,958 17.4","2,527 4.9",303,0.6,13
AWENDO,Female,"55,743","27,836 49.9","9,799 17.6","13,437 24.1","4,455 8.0",200,0.4,16
KURIA EAST,KURIA EAST,"88,045","44,090 50.1","10,775 12.2","13,316 15.1","18,969 21.5",866,1,29
KURIA EAST,Male,"42,653","22,712 53.2","5,604 13.1","5,847 13.7","8,045 18.9",434,1,11
KURIA EAST,Female,"45,385","21,375 47.1","5,171 11.4","7,469 16.5","10,920 24.1",432,1,18
KURIA WEST,KURIA WEST,"189,956","94,801 49.9","27,897 14.7","34,109 18.0","31,689 16.7","1,416",0.7,44
KURIA WEST,Male,"92,003","47,912 52.1","14,757 16.0","15,094 16.4","13,498 14.7",727,0.8,15
KURIA WEST,Female,"97,947","46,886 47.9","13,140 13.4","19,015 19.4","18,188 18.6",689,0.7,29
NYATIKE,NYATIKE,"159,883","81,986 51.3","25,426 15.9","34,550 21.6","15,550 9.7","2,344",1.5,27
NYATIKE,Male,"75,746","41,715 55.1","13,232 17.5","13,854 18.3","5,785 7.6","1,145",1.5,15
NYATIKE,Female,"84,130","40,267 47.9","12,194 14.5","20,694 24.6","9,764 11.6","1,199",1.4,12
RONGO,RONGO,"114,373","60,225 52.7","22,865 20.0","20,964 18.3","9,381 8.2",928,0.8,10
