,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number,at_school_or_learning_institution_number_and_percent,after_completion_number_and_percent,before_completion_number_and_percent,never_been_to_school_or_learning_institution_number_and_percent,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_at_school_or_learning_institution_number_and_percent,male_after_completion_number_and_percent,male_before_completion_number_and_percent,male_never_been_to_school_or_learning_institution_number_and_percent,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,Unnamed: 19,female_male_Place_county_or_subcounty,female_male_total_and_gender,female_male_number,female_male_at_school_or_learning_institution_number_and_percent,female_male_after_completion_number_and_percent,female_male_before_completion_number_and_percent,female_male_never_been_to_school_or_learning_institution_number_and_percent,female_male_dont_know_number,female_male_dont_know_number_percent,female_male_not_stated_number,female_male_at_school_or_learning_institution_number,female_male_at_school_or_learning_institution_pct,female_male_after_completion_number,female_male_after_completion_pct,female_male_before_completion_number,female_male_before_completion_pct,female_male_never_been_to_school_or_learning_institution_number,female_male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower
114,Kisumu,Kisumu,42,Nyando,nyando,NYANDO,NYANDO,"149,436","73,976 49.5","34,433 23.0","27,043 18.1","12,561 8.4","1,381",0.9,42,"73,976",49.5,"34,433",23,"27,043",18.1,"12,561",8.4,1031,NYANDO,Male,"71,048","37,454 52.7","17,294 24.3","11,030 15.5","4,526 6.4",723,1,21,"37,454",52.7,"17,294",24.3,"11,030",15.5,"4,526",6.4,1031,NYANDO,Male,"71,048","37,454 52.7","17,294 24.3","11,030 15.5","4,526 6.4",723,1,21,"37,454",52.7,"17,294",24.3,"11,030",15.5,"4,526",6.4,nyando
520,Migori,Migori,44,Nyatike,nyatike,NYATIKE,NYATIKE,"159,883","81,986 51.3","25,426 15.9","34,550 21.6","15,550 9.7","2,344",1.5,27,"81,986",51.3,"25,426",15.9,"34,550",21.6,"15,550",9.7,1076,NYATIKE,Male,"75,746","41,715 55.1","13,232 17.5","13,854 18.3","5,785 7.6","1,145",1.5,15,"41,715",55.1,"13,232",17.5,"13,854",18.3,"5,785",7.6,1076,NYATIKE,Male,"75,746","41,715 55.1","13,232 17.5","13,854 18.3","5,785 7.6","1,145",1.5,15,"41,715",55.1,"13,232",17.5,"13,854",18.3,"5,785",7.6,nyatike
427,Nyeri,Nyeri,19,,,NYERI,NYERI,"709,353","253,898 35.8","301,927 42.6","113,307 16.0","36,036 5.1","4,138",0.6,47,"253,898",35.8,"301,927",42.6,"113,307",16,"36,036",5.1,449,NYERI,Male,"348,266","130,417 37.4","150,457 43.2","52,289 15.0","12,895 3.7","2,180",0.6,28,"130,417",37.4,"150,457",43.2,"52,289",15,"12,895",3.7,449,NYERI,Male,"348,266","130,417 37.4","150,457 43.2","52,289 15.0","12,895 3.7","2,180",0.6,28,"130,417",37.4,"150,457",43.2,"52,289",15,"12,895",3.7,nyeri
430,Nyeri,Nyeri,19,Nyeri central,nyeri central,NYERI CENTRAL,NYERI CENTRAL,"128,041","44,275 34.6","61,841 48.3","16,110 12.6","4,716 3.7","1,084",0.8,15,"44,275",34.6,"61,841",48.3,"16,110",12.6,"4,716",3.7,473,NYERI CENTRAL,Male,"62,843","22,509 35.8","30,425 48.4","7,449 11.9","1,893 3.0",556,0.9,11,"22,509",35.8,"30,425",48.4,"7,449",11.9,"1,893",3,473,NYERI CENTRAL,Male,"62,843","22,509 35.8","30,425 48.4","7,449 11.9","1,893 3.0",556,0.9,11,"22,509",35.8,"30,425",48.4,"7,449",11.9,"1,893",3,nyeri central
428,Nyeri,Nyeri,19,Nyeri south,nyeri south,NYERI SOUTH,NYERI SOUTH,"85,827","30,669 35.7","35,818 41.7","13,494 15.7","5,441 6.3",403,0.5,2,"30,669",35.7,"35,818",41.7,"13,494",15.7,"5,441",6.3,467,NYERI SOUTH,Male,"41,443","15,718 37.9","17,671 42.6","6,140 14.8","1,688 4.1",225,0.5,1,"15,718",37.9,"17,671",42.6,"6,140",14.8,"1,688",4.1,467,NYERI SOUTH,Male,"41,443","15,718 37.9","17,671 42.6","6,140 14.8","1,688 4.1",225,0.5,1,"15,718",37.9,"17,671",42.6,"6,140",14.8,"1,688",4.1,nyeri south
129,Kitui,Kitui,15,Nzambani,nzambani,NZAMBANI,NZAMBANI,"43,682","19,051 43.6","12,982 29.7","6,592 15.1","4,717 10.8",340,0.8,-,"19,051",43.6,"12,982",29.7,"6,592",15.1,"4,717",10.8,353,NZAMBANI,Male,"21,356","9,831 46.0","6,486 30.4","3,137 14.7","1,716 8.0",186,0.9,-,"9,831",46,"6,486",30.4,"3,137",14.7,"1,716",8,353,NZAMBANI,Male,"21,356","9,831 46.0","6,486 30.4","3,137 14.7","1,716 8.0",186,0.9,-,"9,831",46,"6,486",30.4,"3,137",14.7,"1,716",8,nzambani
419,Makueni,Wote,17,Nzaui,nzaui,NZAUI,NZAUI,"117,447","50,750 43.2","36,072 30.7","20,205 17.2","9,184 7.8","1,203",1,33,"50,750",43.2,"36,072",30.7,"20,205",17.2,"9,184",7.8,419,NZAUI,Male,"58,168","25,936 44.6","17,990 30.9","10,229 17.6","3,340 5.7",656,1.1,17,"25,936",44.6,"17,990",30.9,"10,229",17.6,"3,340",5.7,419,NZAUI,Male,"58,168","25,936 44.6","17,990 30.9","10,229 17.6","3,340 5.7",656,1.1,17,"25,936",44.6,"17,990",30.9,"10,229",17.6,"3,340",5.7,nzaui
445,West Pokot,Kapenguria,24,Pokot central,pokot central,POKOT CENTRAL,POKOT CENTRAL,"106,071","42,955 40.5","3,926 3.7","11,271 10.6","47,095 44.4",806,0.8,18,"42,955",40.5,"3,926",3.7,"11,271",10.6,"47,095",44.4,605,POKOT CENTRAL,Male,"53,164","22,218 41.8","2,484 4.7","5,871 11.0","22,191 41.7",393,0.7,7,"22,218",41.8,"2,484",4.7,"5,871",11,"22,191",41.7,605,POKOT CENTRAL,Male,"53,164","22,218 41.8","2,484 4.7","5,871 11.0","22,191 41.7",393,0.7,7,"22,218",41.8,"2,484",4.7,"5,871",11,"22,191",41.7,pokot central
446,West Pokot,Kapenguria,24,Pokot north,pokot north,POKOT NORTH,POKOT NORTH,"118,673","27,221 22.9","3,081 2.6","3,584 3.0","83,724 70.6","1,005",0.8,58,"27,221",22.9,"3,081",2.6,"3,584",3,"83,724",70.6,608,POKOT NORTH,Male,"56,999","13,774 24.2","1,929 3.4","1,718 3.0","39,056 68.5",497,0.9,25,"13,774",24.2,"1,929",3.4,"1,718",3,"39,056",68.5,608,POKOT NORTH,Male,"56,999","13,774 24.2","1,929 3.4","1,718 3.0","39,056 68.5",497,0.9,25,"13,774",24.2,"1,929",3.4,"1,718",3,"39,056",68.5,pokot north
313,West Pokot,Kapenguria,24,Pokot South,pokot south,POKOT SOUTH,POKOT SOUTH,"72,458","41,818 57.7","5,071 7.0","9,784 13.5","14,667 20.2","1,118",1.5,-,"41,818",57.7,"5,071",7,"9,784",13.5,"14,667",20.2,611,POKOT SOUTH,Male,"35,681","21,211 59.4","2,853 8.0","4,663 13.1","6,391 17.9",563,1.6,-,"21,211",59.4,"2,853",8,"4,663",13.1,"6,391",17.9,611,POKOT SOUTH,Male,"35,681","21,211 59.4","2,853 8.0","4,663 13.1","6,391 17.9",563,1.6,-,"21,211",59.4,"2,853",8,"4,663",13.1,"6,391",17.9,pokot south
102,Kilifi,Kilifi,3,Rabai,rabai,RABAI,RABAI,"111,351","49,137 44.1","27,773 24.9","12,728 11.4","20,654 18.5","1,052",0.9,7,"49,137",44.1,"27,773",24.9,"12,728",11.4,"20,654",18.5,71,RABAI,Male,"53,772","25,089 46.7","15,195 28.3","6,166 11.5","6,774 12.6",545,1,3,"25,089",46.7,"15,195",28.3,"6,166",11.5,"6,774",12.6,71,RABAI,Male,"53,772","25,089 46.7","15,195 28.3","6,166 11.5","6,774 12.6",545,1,3,"25,089",46.7,"15,195",28.3,"6,166",11.5,"6,774",12.6,rabai
515,Homa Bay,Homa Bay,43,Rachuonyo east,rachuonyo east,RACHUONYO EAST,RACHUONYO EAST,"112,267","60,292 53.7","20,594 18.3","21,293 19.0","9,434 8.4",652,0.6,2,"60,292",53.7,"20,594",18.3,"21,293",19,"9,434",8.4,1049,RACHUONYO EAST,Male,"52,912","30,901 58.4","10,085 19.1","8,337 15.8","3,260 6.2",328,0.6,1,"30,901",58.4,"10,085",19.1,"8,337",15.8,"3,260",6.2,1049,RACHUONYO EAST,Male,"52,912","30,901 58.4","10,085 19.1","8,337 15.8","3,260 6.2",328,0.6,1,"30,901",58.4,"10,085",19.1,"8,337",15.8,"3,260",6.2,rachuonyo east
514,Homa Bay,Homa Bay,43,Rachuonyo north,rachuonyo north,RACHUONYO NORTH,RACHUONYO NORTH,"165,147","84,682 51.3","32,958 20.0","32,781 19.8","13,878 8.4",829,0.5,19,"84,682",51.3,"32,958",20,"32,781",19.8,"13,878",8.4,1046,RACHUONYO NORTH,Male,"78,464","43,300 55.2","16,599 21.2","13,138 16.7","4,949 6.3",468,0.6,10,"43,300",55.2,"16,599",21.2,"13,138",16.7,"4,949",6.3,1046,RACHUONYO NORTH,Male,"78,464","43,300 55.2","16,599 21.2","13,138 16.7","4,949 6.3",468,0.6,10,"43,300",55.2,"16,599",21.2,"13,138",16.7,"4,949",6.3,rachuonyo north
516,Homa Bay,Homa Bay,43,Rachuonyo south,rachuonyo south,RACHUONYO SOUTH,RACHUONYO SOUTH,"120,330","63,280 52.6","26,103 21.7","21,508 17.9","8,804 7.3",633,0.5,2,"63,280",52.6,"26,103",21.7,"21,508",17.9,"8,804",7.3,1052,RACHUONYO SOUTH,Male,"56,383","31,952 56.7","12,557 22.3","8,379 14.9","3,160 5.6",334,0.6,1,"31,952",56.7,"12,557",22.3,"8,379",14.9,"3,160",5.6,1052,RACHUONYO SOUTH,Male,"56,383","31,952 56.7","12,557 22.3","8,379 14.9","3,160 5.6",334,0.6,1,"31,952",56.7,"12,557",22.3,"8,379",14.9,"3,160",5.6,rachuonyo south
49,Homa Bay,Homa Bay,43,Rangwe,rangwe,RANGWE,RANGWE,"108,345","57,746 53.3","17,420 16.1","20,795 19.2","10,835 10.0","1,535",1.4,14,"57,746",53.3,"17,420",16.1,"20,795",19.2,"10,835",10,1055,RANGWE,Male,"50,653","29,547 58.3","8,345 16.5","8,132 16.1","3,862 7.6",762,1.5,5,"29,547",58.3,"8,345",16.5,"8,132",16.1,"3,862",7.6,1055,RANGWE,Male,"50,653","29,547 58.3","8,345 16.5","8,132 16.1","3,862 7.6",762,1.5,5,"29,547",58.3,"8,345",16.5,"8,132",16.1,"3,862",7.6,rangwe
226,Nakuru,Nakuru,32,Rongai,rongai,RONGAI,RONGAI,"184,553","80,687 43.7","59,302 32.1","27,883 15.1","15,439 8.4","1,219",0.7,23,"80,687",43.7,"59,302",32.1,"27,883",15.1,"15,439",8.4,776,RONGAI,Male,"92,132","41,256 44.8","30,193 32.8","13,319 14.5","6,630 7.2",723,0.8,11,"41,256",44.8,"30,193",32.8,"13,319",14.5,"6,630",7.2,776,RONGAI,Male,"92,132","41,256 44.8","30,193 32.8","13,319 14.5","6,630 7.2",723,0.8,11,"41,256",44.8,"30,193",32.8,"13,319",14.5,"6,630",7.2,rongai
182,Migori,Migori,44,Rongo,rongo,RONGO,RONGO,"114,373","60,225 52.7","22,865 20.0","20,964 18.3","9,381 8.2",928,0.8,10,"60,225",52.7,"22,865",20,"20,964",18.3,"9,381",8.2,1079,RONGO,Male,"54,154","30,467 56.3","11,382 21.0","8,361 15.4","3,517 6.5",425,0.8,2,"30,467",56.3,"11,382",21,"8,361",15.4,"3,517",6.5,1079,RONGO,Male,"54,154","30,467 56.3","11,382 21.0","8,361 15.4","3,517 6.5",425,0.8,2,"30,467",56.3,"11,382",21,"8,361",15.4,"3,517",6.5,rongo
93,Kiambu,Kiambu,22,Ruiru,ruiru,RUIRU,RUIRU,"340,681","116,732 34.3","169,893 49.9","40,834 12.0","10,509 3.1","2,635",0.8,78,"116,732",34.3,"169,893",49.9,"40,834",12,"10,509",3.1,566,RUIRU,Male,"165,256","57,530 34.8","83,728 50.7","17,721 10.7","4,779 2.9","1,455",0.9,43,"57,530",34.8,"83,728",50.7,"17,721",10.7,"4,779",2.9,566,RUIRU,Male,"165,256","57,530 34.8","83,728 50.7","17,721 10.7","4,779 2.9","1,455",0.9,43,"57,530",34.8,"83,728",50.7,"17,721",10.7,"4,779",2.9,ruiru
300,Vihiga,Vihiga,38,Sabatia,sabatia,SABATIA,SABATIA,"122,708","57,435 46.8","32,383 26.4","24,106 19.6","7,839 6.4",930,0.8,15,"57,435",46.8,"32,383",26.4,"24,106",19.6,"7,839",6.4,917,SABATIA,Male,"58,591","28,652 48.9","15,571 26.6","10,669 18.2","3,224 5.5",469,0.8,6,"28,652",48.9,"15,571",26.6,"10,669",18.2,"3,224",5.5,917,SABATIA,Male,"58,591","28,652 48.9","15,571 26.6","10,669 18.2","3,224 5.5",469,0.8,6,"28,652",48.9,"15,571",26.6,"10,669",18.2,"3,224",5.5,sabatia
323,Samburu,Maralal,25,,,SAMBURU,SAMBURU,"180,988","81,251 44.9","27,830 15.4","20,089 11.1","50,773 28.1",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18,"10,087",11.6,"18,709",21.6,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18,"10,087",11.6,"18,709",21.6,samburu
324,Samburu,Maralal,25,,,SAMBURU,SAMBURU,"180,988","81,251 44.9","27,830 15.4","20,089 11.1","50,773 28.1",974,0.5,71,"81,251",44.9,"27,830",15.4,"20,089",11.1,"50,773",28.1,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,samburu
325,Samburu,Maralal,25,,,SAMBURU,SAMBURU,"279,891","86,608 30.9","21,260 7.6","12,334 4.4","157,284 56.2","2,377",0.8,28,"86,608",30.9,"21,260",7.6,"12,334",4.4,"157,284",56.2,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18,"10,087",11.6,"18,709",21.6,41,SAMBURU,Male,"86,642","41,678 48.1","15,621 18.0","10,087 11.6","18,709 21.6",512,0.6,35,"41,678",48.1,"15,621",18,"10,087",11.6,"18,709",21.6,samburu
326,Samburu,Maralal,25,,,SAMBURU,SAMBURU,"279,891","86,608 30.9","21,260 7.6","12,334 4.4","157,284 56.2","2,377",0.8,28,"86,608",30.9,"21,260",7.6,"12,334",4.4,"157,284",56.2,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,617,SAMBURU,Male,"141,072","46,092 32.7","12,778 9.1","6,193 4.4","74,619 52.9","1,378",1,12,"46,092",32.7,"12,778",9.1,"6,193",4.4,"74,619",52.9,samburu
447,Samburu,Maralal,25,Samburu central,samburu central,SAMBURU CENTRAL,SAMBURU CENTRAL,"149,358","55,364 37.1","13,832 9.3","8,173 5.5","70,391 47.1","1,578",1.1,20,"55,364",37.1,"13,832",9.3,"8,173",5.5,"70,391",47.1,620,SAMBURU CENTRAL,Male,"75,738","29,444 38.9","8,136 10.7","4,095 5.4","33,148 43.8",906,1.2,9,"29,444",38.9,"8,136",10.7,"4,095",5.4,"33,148",43.8,620,SAMBURU CENTRAL,Male,"75,738","29,444 38.9","8,136 10.7","4,095 5.4","33,148 43.8",906,1.2,9,"29,444",38.9,"8,136",10.7,"4,095",5.4,"33,148",43.8,samburu central
258,Samburu,Maralal,25,Samburu east,samburu east,SAMBURU EAST,SAMBURU EAST,"69,944","17,726 25.3","4,901 7.0","2,660 3.8","44,187 63.2",469,0.7,1,"17,726",25.3,"4,901",7,"2,660",3.8,"44,187",63.2,623,SAMBURU EAST,Male,"34,048","9,425 27.7","2,925 8.6","1,338 3.9","20,058 58.9",302,0.9,-,"9,425",27.7,"2,925",8.6,"1,338",3.9,"20,058",58.9,623,SAMBURU EAST,Male,"34,048","9,425 27.7","2,925 8.6","1,338 3.9","20,058 58.9",302,0.9,-,"9,425",27.7,"2,925",8.6,"1,338",3.9,"20,058",58.9,samburu east
259,Samburu,Maralal,25,Samburu north,samburu north,SAMBURU NORTH,SAMBURU NORTH,"60,589","13,518 22.3","2,527 4.2","1,501 2.5","42,706 70.5",330,0.5,7,"13,518",22.3,"2,527",4.2,"1,501",2.5,"42,706",70.5,626,SAMBURU NORTH,Male,"31,286","7,223 23.1","1,717 5.5",760 2.4,"21,413 68.4",170,0.5,3,"7,223",23.1,"1,717",5.5,760,2.4,"21,413",68.4,626,SAMBURU NORTH,Male,"31,286","7,223 23.1","1,717 5.5",760 2.4,"21,413 68.4",170,0.5,3,"7,223",23.1,"1,717",5.5,760,2.4,"21,413",68.4,samburu north
532,Kisii,Kisii,45,Sameta,sameta,SAMETA,SAMETA,"62,588","29,713 47.5","12,171 19.4","13,987 22.3","6,431 10.3",284,0.5,2,"29,713",47.5,"12,171",19.4,"13,987",22.3,"6,431",10.3,1124,SAMETA,Male,"29,619","14,914 50.4","6,245 21.1","5,826 19.7","2,486 8.4",147,0.5,1,"14,914",50.4,"6,245",21.1,"5,826",19.7,"2,486",8.4,1124,SAMETA,Male,"29,619","14,914 50.4","6,245 21.1","5,826 19.7","2,486 8.4",147,0.5,1,"14,914",50.4,"6,245",21.1,"5,826",19.7,"2,486",8.4,sameta
508,Busia,Busia,40,Samia,samia,SAMIA,SAMIA,"99,108","48,054 48.5","15,902 16.0","21,443 21.6","13,405 13.5",304,0.3,-,"48,054",48.5,"15,902",16,"21,443",21.6,"13,405",13.5,983,SAMIA,Male,"46,819","24,303 51.9","8,394 17.9","9,116 19.5","4,817 10.3",189,0.4,-,"24,303",51.9,"8,394",17.9,"9,116",19.5,"4,817",10.3,983,SAMIA,Male,"46,819","24,303 51.9","8,394 17.9","9,116 19.5","4,817 10.3",189,0.4,-,"24,303",51.9,"8,394",17.9,"9,116",19.5,"4,817",10.3,samia
115,Kisumu,Kisumu,42,Seme,seme,SEME,SEME,"112,594","56,390 50.1","23,769 21.1","20,862 18.5","11,084 9.8",477,0.4,12,"56,390",50.1,"23,769",21.1,"20,862",18.5,"11,084",9.8,1025,SEME,Male,"53,097","28,762 54.2","11,729 22.1","8,430 15.9","3,904 7.4",266,0.5,6,"28,762",54.2,"11,729",22.1,"8,430",15.9,"3,904",7.4,1025,SEME,Male,"53,097","28,762 54.2","11,729 22.1","8,430 15.9","3,904 7.4",266,0.5,6,"28,762",54.2,"11,729",22.1,"8,430",15.9,"3,904",7.4,seme
509,Siaya,Siaya,41,,,SIAYA,SIAYA,"919,461","441,450 48.0","198,100 21.5","184,768 20.1","86,173 9.4","8,648",0.9,322,"441,450",48,"198,100",21.5,"184,768",20.1,"86,173",9.4,992,SIAYA,Male,"434,630","223,195 51.4","97,782 22.5","78,383 18.0","30,230 7.0","4,877",1.1,163,"223,195",51.4,"97,782",22.5,"78,383",18,"30,230",7,992,SIAYA,Male,"434,630","223,195 51.4","97,782 22.5","78,383 18.0","30,230 7.0","4,877",1.1,163,"223,195",51.4,"97,782",22.5,"78,383",18,"30,230",7,siaya
80,Kericho,Kericho,35,Soin sigowet,soin sigowet,SOIN SIGOWET,SOIN SIGOWET,"117,155","56,645 48.4","22,178 18.9","26,091 22.3","11,411 9.7",811,0.7,19,"56,645",48.4,"22,178",18.9,"26,091",22.3,"11,411",9.7,845,SOIN SIGOWET,Male,"58,354","29,251 50.1","11,699 20.0","12,101 20.7","4,872 8.3",423,0.7,8,"29,251",50.1,"11,699",20,"12,101",20.7,"4,872",8.3,845,SOIN SIGOWET,Male,"58,354","29,251 50.1","11,699 20.0","12,101 20.7","4,872 8.3",423,0.7,8,"29,251",50.1,"11,699",20,"12,101",20.7,"4,872",8.3,soin sigowet
356,Marsabit,Marsabit,10,Sololo,sololo,SOLOLO,SOLOLO,"40,664","12,716 31.3","2,316 5.7","1,343 3.3","23,756 58.4",527,1.3,6,"12,716",31.3,"2,316",5.7,"1,343",3.3,"23,756",58.4,206,SOLOLO,Male,"21,339","6,680 31.3","1,501 7.0",794 3.7,"12,074 56.6",287,1.3,3,"6,680",31.3,"1,501",7,794,3.7,"12,074",56.6,206,SOLOLO,Male,"21,339","6,680 31.3","1,501 7.0",794 3.7,"12,074 56.6",287,1.3,3,"6,680",31.3,"1,501",7,794,3.7,"12,074",56.6,sololo
10,Bomet,Bomet,36,Sotik,sotik,SOTIK,SOTIK,"211,301","106,570 50.4","45,651 21.6","39,736 18.8","17,883 8.5","1,449",0.7,12,"106,570",50.4,"45,651",21.6,"39,736",18.8,"17,883",8.5,860,SOTIK,Male,"103,882","54,539 52.5","23,484 22.6","17,851 17.2","7,186 6.9",817,0.8,5,"54,539",52.5,"23,484",22.6,"17,851",17.2,"7,186",6.9,860,SOTIK,Male,"103,882","54,539 52.5","23,484 22.6","17,851 17.2","7,186 6.9",817,0.8,5,"54,539",52.5,"23,484",22.6,"17,851",17.2,"7,186",6.9,sotik
295,Uasin Gishu,Eldoret,27,Soy,soy,SOY,SOY,"211,662","100,702 47.6","48,947 23.1","42,352 20.0","17,599 8.3","2,035",1,27,"100,702",47.6,"48,947",23.1,"42,352",20,"17,599",8.3,662,SOY,Male,"105,136","51,374 48.9","24,693 23.5","20,093 19.1","7,783 7.4","1,176",1.1,17,"51,374",48.9,"24,693",23.5,"20,093",19.1,"7,783",7.4,662,SOY,Male,"105,136","51,374 48.9","24,693 23.5","20,093 19.1","7,783 7.4","1,176",1.1,17,"51,374",48.9,"24,693",23.5,"20,093",19.1,"7,783",7.4,soy
544,Nairobi,Nairobi City,47,Starehe,starehe,STAREHE,STAREHE,"182,149","63,879 35.1","82,615 45.4","20,722 11.4","12,498 6.9","2,277",1.3,158,"63,879",35.1,"82,615",45.4,"20,722",11.4,"12,498",6.9,1175,STAREHE,Male,"90,480","32,284 35.7","42,791 47.3","9,273 10.2","4,884 5.4","1,164",1.3,84,"32,284",35.7,"42,791",47.3,"9,273",10.2,"4,884",5.4,1175,STAREHE,Male,"90,480","32,284 35.7","42,791 47.3","9,273 10.2","4,884 5.4","1,164",1.3,84,"32,284",35.7,"42,791",47.3,"9,273",10.2,"4,884",5.4,starehe
517,Homa Bay,Homa Bay,43,Suba North,suba north,SUBA NORTH,SUBA NORTH,"114,461","56,957 49.8","24,214 21.2","22,750 19.9","9,855 8.6",680,0.6,5,"56,957",49.8,"24,214",21.2,"22,750",19.9,"9,855",8.6,1058,SUBA NORTH,Male,"55,323","28,966 52.4","12,562 22.7","9,559 17.3","3,871 7.0",362,0.7,3,"28,966",52.4,"12,562",22.7,"9,559",17.3,"3,871",7,1058,SUBA NORTH,Male,"55,323","28,966 52.4","12,562 22.7","9,559 17.3","3,871 7.0",362,0.7,3,"28,966",52.4,"12,562",22.7,"9,559",17.3,"3,871",7,suba north
518,Homa Bay,Homa Bay,43,Suba South,suba south,SUBA SOUTH,SUBA SOUTH,"111,548","57,265 51.3","20,116 18.0","20,347 18.2","13,377 12.0",428,0.4,15,"57,265",51.3,"20,116",18,"20,347",18.2,"13,377",12,1061,SUBA SOUTH,Male,"53,783","29,367 54.6","10,382 19.3","8,519 15.8","5,292 9.8",215,0.4,8,"29,367",54.6,"10,382",19.3,"8,519",15.8,"5,292",9.8,1061,SUBA SOUTH,Male,"53,783","29,367 54.6","10,382 19.3","8,519 15.8","5,292 9.8",215,0.4,8,"29,367",54.6,"10,382",19.3,"8,519",15.8,"5,292",9.8,suba south
227,Nakuru,Nakuru,32,Subukia,subukia,SUBUKIA,SUBUKIA,"79,115","35,457 44.8","24,537 31.0","11,674 14.8","6,893 8.7",529,0.7,25,"35,457",44.8,"24,537",31,"11,674",14.8,"6,893",8.7,779,SUBUKIA,Male,"38,931","18,355 47.1","12,316 31.6","5,336 13.7","2,622 6.7",290,0.7,12,"18,355",47.1,"12,316",31.6,"5,336",13.7,"2,622",6.7,779,SUBUKIA,Male,"38,931","18,355 47.1","12,316 31.6","5,336 13.7","2,622 6.7",290,0.7,12,"18,355",47.1,"12,316",31.6,"5,336",13.7,"2,622",6.7,subukia
183,Migori,Migori,44,Suna east,suna east,SUNA EAST,SUNA EAST,"111,811","57,149 51.1","23,262 20.8","21,617 19.3","8,475 7.6","1,276",1.1,32,"57,149",51.1,"23,262",20.8,"21,617",19.3,"8,475",7.6,1082,SUNA EAST,Male,"53,380","28,762 53.9","11,809 22.1","8,815 16.5","3,330 6.2",646,1.2,18,"28,762",53.9,"11,809",22.1,"8,815",16.5,"3,330",6.2,1082,SUNA EAST,Male,"53,380","28,762 53.9","11,809 22.1","8,815 16.5","3,330 6.2",646,1.2,18,"28,762",53.9,"11,809",22.1,"8,815",16.5,"3,330",6.2,suna east
184,Migori,Migori,44,Suna west,suna west,SUNA WEST,SUNA WEST,"115,745","58,786 50.8","19,815 17.1","22,302 19.3","13,764 11.9","1,073",0.9,5,"58,786",50.8,"19,815",17.1,"22,302",19.3,"13,764",11.9,1085,SUNA WEST,Male,"54,921","29,543 53.8","10,068 18.3","9,148 16.7","5,625 10.2",534,1,3,"29,543",53.8,"10,068",18.3,"9,148",16.7,"5,625",10.2,1085,SUNA WEST,Male,"54,921","29,543 53.8","10,068 18.3","9,148 16.7","5,625 10.2",534,1,3,"29,543",53.8,"10,068",18.3,"9,148",16.7,"5,625",10.2,suna west
339,Taita-Taveta,Voi,6,Taita,taita,TAITA,TAITA,"52,345","19,302 36.9","22,153 42.3","6,632 12.7","4,059 7.8",197,0.4,2,"19,302",36.9,"22,153",42.3,"6,632",12.7,"4,059",7.8,101,TAITA,Male,"26,495","9,800 37.0","11,852 44.7","3,242 12.2","1,503 5.7",98,0.4,-,"9,800",37,"11,852",44.7,"3,242",12.2,"1,503",5.7,101,TAITA,Male,"26,495","9,800 37.0","11,852 44.7","3,242 12.2","1,503 5.7",98,0.4,-,"9,800",37,"11,852",44.7,"3,242",12.2,"1,503",5.7,taita
338,Taita-Taveta,Voi,6,,,TAITA/TAVETA,TAITA/TAVETA,"312,593","116,381 37.2","118,731 38.0","47,998 15.4","28,128 9.0","1,286",0.4,69,"116,381",37.2,"118,731",38,"47,998",15.4,"28,128",9,95,TAITA/TAVETA,Male,"158,230","59,272 37.5","63,137 39.9","23,804 15.0","11,239 7.1",744,0.5,34,"59,272",37.5,"63,137",39.9,"23,804",15,"11,239",7.1,95,TAITA/TAVETA,Male,"158,230","59,272 37.5","63,137 39.9","23,804 15.0","11,239 7.1",744,0.5,34,"59,272",37.5,"63,137",39.9,"23,804",15,"11,239",7.1,taita/taveta
