County_slash_Sub_County,internet_population_above3_Total_Male_Female,internet_population_above3_Total,internet_population_above3_Male,internet_population_above3_Female,Use_of_Internet_Total,Use_of_Internet_pct,Use_of_Internet_Male_pct,Use_of_Internet_Male,Use_of_Internet_pct,Use_of_Internet_Female,Use_of_Internet_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total,pct_male_pct_female_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Total_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Male_pct,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female,Use_of_Desktop_Computer_slash_Laptop_slash_Tablet_Female_pct
ATHI RIVER,"295,790 150,511 145,277",,,,"142,746",48.3,"75,434 50.1",,,"67,312",46.3,"77,316","26.1 41,515 27.6 35,801",,,,,24.6
KALAMA,"51,542 25,273 26,264",,,,"8,266",16,"4,512 17.9",,,"3,754",14.3,"2,754","5.3 1,578 6.2 1,176",,,,,4.5
KANGUNDO,"92,505 45,935 46,569",,,,"15,904",17.2,"8,680 18.9",,,"7,224",15.5,"6,212","6.7 3,534 7.7 2,678",,,,,5.8
KATHIANI,"105,562 51,709 53,849",,,,"15,883",15,"8,847 17.1",,,"7,035",13.1,"6,570","6.2 3,750 7.3 2,820",,,,,5.2
MACHAKOS SUBCOUNTY,"158,036 78,763 79,267",,,,"49,485",31.3,"25,554 32.4",,,"23,930",30.2,"22,269","14.1 11,932 15.1 10,336",,,,,13
MASINGA,"138,933 68,657 70,274",,,,"20,200",14.5,"10,905 15.9",,,"9,294",13.2,"6,955","5.0 3,957 5.8 2,997",,,,,4.3
MATUNGULU,"151,535 76,123 75,408",,,,"32,446",21.4,"17,059 22.4",,,"15,386",20.4,"13,898","9.2 7,659 10.1 6,239",,,,,8.3
MWALA,"171,999 85,399 86,597",,,,"29,042",16.9,"15,561 18.2",,,"13,481",15.6,"10,350","6.0 5,828 6.8 4,522",,,,,5.2
YATTA,"161,270 79,612 81,657",,,,"28,033",17.4,"15,157 19.0",,,"12,875",15.8,"10,111","6.3 5,615 7.1 4,496",,,,,5.5
MAKUENI,"921,168 453,946 467,204",,,,"148,699",16.1,"81,851 18.0",,,"66,845",14.3,"56,473","6.1 32,092 7.1 24,380",,,,,5.2
KATHONZWENI,"74,893 36,846 38,044",,,,"10,686",14.3,"5,965 16.2",,,"4,721",12.4,"3,722","5.0 2,118 5.7 1,604",,,,,4.2
KIBWEZI,"182,688 90,350 92,334",,,,"26,340",14.4,"14,721 16.3",,,"11,617",12.6,"10,102","5.5 5,862 6.5 4,239",,,,,4.6
